row_id,p_shielded194k,p_effnet,p_meta,p_avg,ra,dec,p_l18,p_shielded60k,in_neuralens_l18,in_neuralens_shielded,in_huang2020,in_huang2021,in_storfer2024,in_inchausti2025,in_hsu2025,in_any
236716_8074,0.99999404,1.0,0.99975055,0.9999970197677612,36.06766118735133,-16.37670238183307,0.999962568283081,0.9999150037765503,False,False,True,False,False,False,False,True
209576_2833,0.99998116,0.9999999,0.99975055,0.9999905228614807,65.57597842229589,-21.546100720959654,0.999915361404419,0.9998251795768738,False,False,False,False,False,False,False,False
177986_5278,0.9999943,0.9999981,0.99975055,0.9999961853027344,31.777862234201486,-27.44854648401278,0.9999220371246338,0.9996769428253174,False,False,False,False,False,False,False,False
384032_3703,0.9999976,0.9999962,0.99975055,0.9999969005584717,143.38871094635851,9.321929023727726,0.999988317489624,0.9999724626541138,False,False,True,False,False,False,False,True
606973_2288,0.99999976,0.9999913,0.99975055,0.9999955296516418,242.53326884633077,56.531302144722794,0.005546694155782461,0.9998501539230347,False,False,False,False,False,False,False,False
270304_4454,0.9999802,0.99999976,0.99975055,0.9999899864196777,29.039995374649806,-10.492645808064816,0.9997366070747375,0.999717652797699,False,False,True,False,False,False,False,True
102952_1920,0.99997795,0.9999999,0.99975055,0.9999889135360718,334.8016950689797,-43.809781703350865,0.9999794960021973,0.9997450709342957,False,False,False,False,False,False,False,False
97776_6110,0.999995,0.99999905,0.99975055,0.9999970197677612,333.50812199007294,-44.89499104614438,0.9993995428085327,0.9994868040084839,False,False,False,False,False,False,False,False
34114_1387,0.99999285,0.9999999,0.99975055,0.9999963641166687,353.746781694146,-64.06866591063849,0.9999799728393555,0.9999411106109619,False,False,False,False,False,False,False,False
143452_4407,0.9999981,1.0,0.99975055,0.9999990463256836,43.258325967289366,-34.43974452700821,0.9998723268508911,0.9998713731765747,False,False,False,False,False,False,False,False
327403_2607,0.999998,0.99999964,0.99975055,0.9999988079071045,338.8263192294246,-0.7965161094390607,0.9999688863754272,0.9998809099197388,False,False,False,False,False,False,False,False
169254_2162,0.9999933,1.0,0.99975055,0.9999966621398926,72.28969809691478,-29.304574819383333,0.9999922513961792,0.9999884366989136,False,False,False,False,True,False,False,True
169248_562,0.99999917,1.0,0.99975055,0.9999995827674866,70.62360069408398,-29.344692299168152,0.9999799728393555,0.9999768733978271,False,False,False,False,False,False,False,False
544425_846,0.9999995,0.9999999,0.99975055,0.9999997019767761,107.57751298312387,40.175221839409325,0.9998906850814819,0.999840497970581,True,False,False,True,False,False,False,True
152930_47,0.99999917,1.0,0.99975055,0.9999995827674866,2.067085779824817,-32.62067578370383,0.9999760389328003,0.9996308088302612,False,False,False,False,True,False,False,True
204169_516,0.99997795,0.9999994,0.99975055,0.9999886751174927,49.161826160157126,-22.609270459098617,0.9999794960021973,0.9999387264251709,False,False,False,False,False,False,False,False
544720_3078,0.99998033,0.9999896,0.99975055,0.9999849796295166,203.89617285420945,40.331463982821276,0.999471127986908,0.9978058934211731,True,False,False,True,False,False,False,True
247777_6407,0.99999774,0.99999034,0.99975055,0.9999940395355225,23.63217066387512,-14.427188593337323,0.9998418092727661,0.9999079704284668,False,False,False,False,False,False,False,False
225790_6575,0.99999356,1.0,0.99975055,0.9999967813491821,54.74148485477197,-18.408903625297892,0.9999496936798096,0.9998328685760498,False,False,False,False,False,False,False,False
146941_10676,0.99999356,0.9999999,0.99975055,0.9999967217445374,15.36598886191495,-33.722079076008896,0.9999872446060181,0.9999035596847534,False,False,False,False,False,False,False,False
310364_6994,0.9999999,0.9999982,0.99975055,0.9999990463256836,38.207761248867804,-3.3905786731091228,0.999997615814209,0.9999873638153076,False,False,True,False,False,False,False,True
553094_3809,0.9999949,0.9999819,0.99975055,0.9999883770942688,99.21930612485441,42.32030773262799,0.12161971628665924,0.9998028874397278,False,False,False,False,False,False,False,False
42950_484,0.99999833,0.99999726,0.99975055,0.9999977946281433,30.392553416629745,-60.61121497036633,0.999964714050293,0.9998443126678467,False,False,False,False,False,False,False,False
205505_2309,0.9999777,0.99999833,0.99975055,0.9999880194664001,49.996566889166644,-22.289522493293227,0.9975355863571167,0.9994671940803528,False,False,False,False,False,False,False,False
