name,RA,DEC,grade,probability,region,tractor_type,ref,cutout_ok,our_p_resnet,our_p_effnet,our_p_meta,our_p_avg
DESI-000.3685-57.8585,0.3685421137,-57.85849526,B,1.0,DECaLS,SER,v,True,0.999979,0.9999999,0.99975055,0.9999894499778748
DESI-001.0940-57.9686,1.0912,-57.9693,B,0.89,DECaLS,REX,,True,0.9698462,0.99999666,0.9996425,0.9849214255809784
DESI-001.1455-42.5329,1.145512737,-42.53288885,B,0.64,DECaLS,SER,,True,0.0021921094,0.93773943,0.63491637,0.4699657706078142
DESI-001.9844-04.9318,1.9847,-4.9329,B,0.93,DECaLS,SER,,True,0.9617513,0.99999964,0.99960774,0.9808754622936249
DESI-002.2189-33.5805,2.218932037,-33.58050953,B,0.89,DECaLS,SER,,True,0.9984971,0.99998856,0.999746,0.9992428421974182
DESI-002.8346-08.7645,2.834612303,-8.764535939,B,0.72,DECaLS,REX,,True,0.024808403,0.0069129034,9.2363865e-05,0.015860653249546885
DESI-003.3768-41.7288,3.376754653,-41.72881852,B,0.77,DECaLS,SER,,True,0.79464954,0.9999844,0.9974808,0.897316962480545
DESI-003.7573-53.1397,3.757286434,-53.13966545,B,0.59,DECaLS,SER,,True,0.6201086,0.9976908,0.9911979,0.8088997006416321
DESI-004.1005-27.8400,4.100464467,-27.83995039,B,1.0,DECaLS,SER,,True,0.94133973,0.9986444,0.9995004,0.969992071390152
DESI-005.2712-28.6385,5.271234208,-28.6384899,B,0.67,DECaLS,SER,,True,0.9834362,0.9999627,0.99969566,0.9916994571685791
DESI-005.5322-10.1832,5.532183418,-10.18323433,B,0.51,DECaLS,DEV,v,True,0.93242323,0.9999316,0.99945444,0.9661774039268494
DESI-005.5714-00.6091,5.571383753,-0.6090947855,B,1.0,DECaLS,EXP,,True,0.84079134,0.99983907,0.9984775,0.9203152060508728
DESI-005.6187+01.8037,5.6186701,1.803655021,B,1.0,DECaLS,DEV,n,True,0.99981207,0.9999994,0.99974996,0.9999057352542877
DESI-005.7394+06.9065,5.739423943,6.906458106,B,0.97,DECaLS,EXP,,True,0.7555765,0.999569,0.9962607,0.8775727450847626
DESI-006.2945-49.7741,6.294508647,-49.77406904,B,1.0,DECaLS,SER,v t,True,0.9996892,0.9999994,0.9997496,0.9998443126678467
DESI-006.7336-59.0876,6.733636532,-59.08760276,B,0.95,DECaLS,SER,,True,0.8751473,0.99679214,0.9989298,0.9359697103500366
DESI-006.9048-06.0151,6.904787997,-6.015058371,B,0.61,DECaLS,SER,,True,0.99964595,0.9991297,0.99974793,0.9993878304958344
DESI-007.3486-57.4832,7.348565448,-57.48317268,B,0.87,DECaLS,SER,,True,0.015562073,0.99764496,0.8159227,0.5066035171039402
DESI-008.9543-29.6876,8.954346401,-29.68759501,B,0.93,DECaLS,SER,,True,0.78717023,0.9992446,0.99725765,0.8932074010372162
DESI-008.9813-23.1172,8.981,-23.1183,B,0.93,DECaLS,REX,,True,0.9681327,0.99963856,0.99963427,0.9838856160640717
DESI-009.1954-47.0114,9.195445518,-47.01143694,B,0.79,DECaLS,EXP,,True,0.016482849,0.9975001,0.8163822,0.5069914851337671
DESI-009.2424-51.2087,9.242411895,-51.20865264,B,0.91,DECaLS,SER,,True,0.991998,1.0,0.9997254,0.9959990084171295
DESI-009.4373-51.2525,9.437320218,-51.25247368,B,0.59,DECaLS,SER,,True,0.99383235,0.9999572,0.99973136,0.9968947768211365
DESI-009.5202-45.3543,9.520185077,-45.35433342,B,1.0,DECaLS,SER,v,True,0.9526048,0.9997297,0.9995641,0.976167231798172
DESI-009.5746+19.7738,9.574558369,19.77377794,B,1.0,DECaLS,SER,v,True,0.9981061,0.99600047,0.9997373,0.9970532953739166
DESI-009.6740-43.7120,9.67399117,-43.71202042,B,1.0,DECaLS,SER,v,True,0.9999902,1.0,0.99975055,0.9999951124191284
DESI-010.3084-06.7092,10.30839271,-6.709190732,B,0.59,DECaLS,SER,,True,0.9941042,1.0,0.9997323,0.9970521032810211
DESI-010.5514-20.4357,10.55144405,-20.43566228,B,0.69,DECaLS,SER,,True,0.992945,0.9999596,0.9997285,0.9964523017406464
DESI-010.9437-50.1036,10.9437202,-50.10363148,B,1.0,DECaLS,SER,v,True,0.9999435,0.9999988,0.99975044,0.9999711513519287
DESI-011.0894-23.0368,11.08939553,-23.03678428,B,0.64,DECaLS,SER,,True,0.9876259,0.9239821,0.9994972,0.9558039903640747
DESI-011.1385-32.0233,11.13853835,-32.02333582,B,0.69,DECaLS,SER,v,True,0.94356614,0.9999896,0.9995189,0.9717778861522675
DESI-011.1538-00.9237,11.1551,-0.9223,B,0.88,DECaLS,SER,w,True,0.87291014,0.99999976,0.99893576,0.9364549517631531
DESI-011.2093-34.3125,11.20934134,-34.31249387,B,0.87,DECaLS,SER,v,True,0.9996965,0.99995375,0.9997496,0.999825119972229
DESI-011.8229-17.8748,11.82292669,-17.87476103,B,0.85,DECaLS,DEV,,True,0.2761582,0.9929234,0.9487417,0.6345407962799072
