RA,DEC,source,is_new,Name,status,flux_std
30.1797,1.9744,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.1797+01.9744,ok,0.056667305529117584
30.20684,-1.58793,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.2068-01.5879,ok,0.017133444547653198
30.20967,-3.00753,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.2097-03.0075,ok,0.009177916683256626
30.23851,-4.28359,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.2385-04.2836,ok,0.01399641390889883
30.29585,-6.08875,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.2959-06.0888,ok,0.01441717054694891
30.34137,-6.95213,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.3414-06.9521,ok,0.009229255840182304
30.34657,-7.01773,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.3466-07.0177,ok,0.019195154309272766
30.35898,-2.17553,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.3590-02.1755,ok,0.02609112113714218
30.36427,-2.70586,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.3643-02.7059,ok,0.021191101521253586
30.42492,-3.16279,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.4249-03.1628,ok,0.024102916941046715
30.42959,-2.19669,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.4296-02.1967,ok,0.0788561999797821
30.43955,-5.48291,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.4396-05.4829,ok,0.008415735326707363
30.45563,-5.9099,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.4556-05.9099,ok,0.008652821183204651
30.48736,-2.02684,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.4874-02.0268,ok,0.05855425074696541
30.54384,-0.6591,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.5438-00.6591,ok,0.017906000837683678
30.54706,-3.77922,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.5471-03.7792,ok,0.06055012345314026
30.587,-3.7,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.5870-03.7000,ok,0.010130883194506168
30.58579,-5.28093,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.5858-05.2809,ok,0.027169903740286827
30.5913,-2.94857,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.5913-02.9486,ok,0.014306806027889252
30.6005,-5.7638,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.6005-05.7638,ok,0.03272826224565506
30.67247,-6.76979,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.6725-06.7698,ok,0.015173107385635376
30.6761,-5.723,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.6761-05.7230,ok,0.0063150678761303425
30.83392,-6.65827,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.8339-06.6583,ok,0.01012920681387186
30.839,-1.2799,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.8390-01.2799,ok,0.010714386589825153
30.8696,-6.997,Sonnenfeld2020_SuGOHI_VI,True,DESI-030.8696-06.9970,ok,0.03435113653540611
31.0849,-4.7321,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.0849-04.7321,ok,0.06529445946216583
31.1545,-2.1802,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.1545-02.1802,ok,0.008230901323258877
31.20783,-2.03504,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.2078-02.0350,ok,0.008289121091365814
31.2085,-3.0596,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.2085-03.0596,ok,1.0661211013793945
31.2963,-4.993,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.2963-04.9930,ok,0.055975235998630524
31.38141,-1.92919,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.3814-01.9292,ok,0.05205541104078293
31.39235,-5.1687,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.3924-05.1687,ok,0.01391213946044445
31.47117,-4.94543,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.4712-04.9454,ok,0.007050005719065666
