name,RA,DEC,grade,probability,region,tractor_type,ref,status,bytes
DESI-031.5179-49.6362,31.51793542,-49.63617137,B,0.97,DECaLS,DEV,,skip,126720
DESI-031.5475-37.4941,31.54749777,-37.49410041,B,1.0,DECaLS,SER,v,skip,126720
DESI-031.8637-50.8687,31.86368773,-50.86867237,B,0.98,DECaLS,SER,v,skip,126720
DESI-032.2215-32.0343,32.222,-32.0334,B,0.6,DECaLS,SER,,skip,126720
DESI-032.3802+09.3169,32.3798,9.3159,B,0.89,DECaLS,REX,,skip,126720
DESI-032.5288+04.0493,32.5284,4.051,B,0.55,DECaLS,SER,,skip,126720
DESI-032.7714-04.3339,32.77135316,-4.333924231,B,0.58,DECaLS,DEV,,skip,126720
DESI-032.9319+15.1325,32.93192813,15.13250709,B,0.76,DECaLS,SER,,skip,126720
DESI-033.1171-28.7161,33.1145,-28.716,B,0.98,DECaLS,SER,w v,skip,126720
DESI-033.1253+01.8769,33.1236,1.8781,B,0.8,DECaLS,SER,v,skip,126720
DESI-033.2238-57.1230,33.22376796,-57.12295329,B,0.99,DECaLS,REX,,skip,126720
DESI-033.6956-42.1178,33.69562526,-42.11784386,B,1.0,DECaLS,SER,w v,skip,126720
DESI-033.8931+04.6137,33.89307898,4.613692273,B,1.0,DECaLS,EXP,,skip,126720
DESI-034.1261-21.7338,34.12608471,-21.73379771,B,0.99,DECaLS,EXP,,skip,126720
DESI-034.2248-36.8005,34.22483319,-36.80045783,B,1.0,DECaLS,SER,,skip,126720
DESI-034.2661-18.2729,34.26606296,-18.27286935,B,0.98,DECaLS,EXP,,skip,126720
DESI-034.4369-21.9762,34.43685613,-21.97616163,B,1.0,DECaLS,SER,,skip,126720
DESI-034.6148-49.1320,34.61480116,-49.13198588,B,0.98,DECaLS,SER,,skip,126720
DESI-034.9496+14.8571,34.94961522,14.85713316,B,0.95,DECaLS,SER,,skip,126720
DESI-035.0626-18.4518,35.062608,-18.4517642,B,0.45,DECaLS,DEV,,skip,126720
DESI-035.1288+00.7393,35.12881848,0.7393387197,B,0.94,DECaLS,SER,,skip,126720
DESI-035.4532-64.4451,35.45317396,-64.44513667,B,0.98,DECaLS,DEV,v t,skip,126720
DESI-035.5268+16.7916,35.52678654,16.79157886,B,0.81,DECaLS,DEV,v,skip,126720
DESI-035.5934-02.3698,35.59344672,-2.369812311,B,1.0,DECaLS,DEV,o,skip,126720
DESI-035.7520-12.2527,35.75195677,-12.25270818,B,0.81,DECaLS,SER,,skip,126720
DESI-035.7739+06.8505,35.77394871,6.850509485,B,0.98,DECaLS,SER,,skip,126720
DESI-036.0262-61.7198,36.02623357,-61.71980348,B,0.92,DECaLS,SER,v,ok,126720
DESI-036.2546-59.1169,36.25458398,-59.1168891,B,0.92,DECaLS,SER,,ok,126720
DESI-036.8668-62.9975,36.86683518,-62.99753058,B,1.0,DECaLS,SER,,ok,126720
DESI-036.9062-10.6514,36.90621746,-10.65137711,B,0.97,DECaLS,DEV,,ok,126720
DESI-036.9819-53.0407,36.98191244,-53.04067976,B,1.0,DECaLS,SER,,ok,126720
DESI-037.1434-63.0032,37.14342175,-63.00318534,B,0.95,DECaLS,SER,,skip,126720
DESI-037.1863-55.7989,37.18628,-55.79889431,B,1.0,DECaLS,SER,i,skip,126720
DESI-037.2547-44.3681,37.25466443,-44.36814064,B,0.77,DECaLS,REX,,skip,126720
DESI-038.1796-49.2311,38.1795516,-49.23114123,B,0.98,DECaLS,SER,,skip,126720
DESI-038.2533-02.3828,38.25325216,-2.382816096,B,1.0,DECaLS,SER,,skip,126720
DESI-038.3756-06.8619,38.37556792,-6.861869349,B,1.0,DECaLS,SER,,skip,126720
DESI-038.6085-21.7192,38.60845199,-21.71918551,B,0.98,DECaLS,EXP,,skip,126720
DESI-038.6466-62.3818,38.64662287,-62.38178081,B,0.54,DECaLS,SER,i,skip,126720
DESI-039.0167-31.7061,39.01665032,-31.70613337,B,0.43,DECaLS,DEV,,skip,126720
DESI-039.1510-12.0936,39.15095267,-12.09363264,B,0.8,DECaLS,SER,,skip,126720
DESI-039.6431-56.5589,39.64306264,-56.55891843,B,0.73,DECaLS,SER,v,skip,126720
DESI-039.6812-25.4093,39.68119104,-25.40933753,B,0.67,DECaLS,EXP,,skip,126720
DESI-040.0311-28.7779,40.03106678,-28.77792511,B,1.0,DECaLS,SER,,skip,126720
DESI-040.1217-11.6983,40.1217117,-11.69831898,B,0.99,DECaLS,SER,v,skip,126720
DESI-040.3748-28.4463,40.37477902,-28.44634432,B,0.4,DECaLS,REX,,skip,126720
DESI-040.6847-48.1935,40.68470797,-48.19354569,B,1.0,DECaLS,SER,i,skip,126720
DESI-041.0434-46.4402,41.04337558,-46.44016146,B,0.96,DECaLS,SER,v,skip,126720
