name,ra,dec,catalog,survey_key,p_meta
s_90098_8002,107.16963082163636,-46.78316512518928,dr11,dr11,0.82955396
s_326089_1785,10.287568809662847,-0.7303042470217409,dr11,dr11,0.8295125
s_236755_7301,46.3197090116264,-16.603684620012235,dr11,dr11,0.8291489
s_84065_9489,38.863249395864926,-48.305847154763576,dr11,dr11,0.82871556
s_120781_3317,156.8524737081635,-39.60929216513198,dr11,dr11,0.8283083
s_193487_232,19.487028004575546,-24.47355771660923,dr11,dr11,0.8274952
s_43736_6056,67.3944736474896,-60.19054508469584,dr11,dr11,0.8273421
s_112158_2867,209.67412355223837,-41.49321400642417,dr11,dr11,0.82728755
s_59958_9730,64.5412341064485,-54.9597390325274,dr11,dr11,0.8267278
s_40781_8597,358.82983906199166,-61.61028561193984,dr11,dr11,0.8267278
s_72059_7259,69.45062722007019,-51.60776315824945,dr11,dr11,0.82645506
s_110514_635,21.39002776828644,-41.70498741113329,dr11,dr11,0.82636046
s_112561_2397,343.776350823842,-41.38898632212764,dr11,dr11,0.82623744
s_166429_3374,341.44181516479847,-29.933082889019676,dr11,dr11,0.82565504
s_42269_1688,44.316582835066775,-60.851390684980856,dr11,dr11,0.82555366
s_87901_1833,23.20823751909131,-47.12698616947712,dr11,dr11,0.82503384
s_129372_3768,16.450386766687533,-37.428555682962205,dr11,dr11,0.82447106
s_321588_7703,325.2167368641635,-1.8271738820528265,dr11,dr11,0.82410383
s_500743_15528,23.69904503378852,30.95033324097848,dr11,dr11,0.82382643
s_336034_1750,336.5380314908672,0.69486864744162,dr11,dr11,0.82380146
s_351300_934,193.83183564254747,3.49148555828696,dr11,dr11,0.82323945
s_146900_4805,3.1236873818070867,-33.777903590442925,dr11,dr11,0.8224614
s_159660_1923,179.77326199470517,-31.26862239887314,dr11,dr11,0.82235485
s_477316_3276,204.9535193474946,26.1675163484066,dr11,dr11,0.8221163
s_238185_2253,58.57614147330846,-16.16454183849821,dr11,dr11,0.82207507
s_71042_1653,20.176048773946803,-51.73143511801116,dr11,dr11,0.8219
s_154369_2789,67.06778191438998,-32.29999525836189,dr11,dr11,0.82095134
s_171116_2757,244.21720859921317,-29.093427733611662,dr11,dr11,0.8197936
s_500742_22272,23.484808323015837,30.94269728181772,dr11,dr11,0.81948835
s_500742_22267,23.484750535740822,30.945248373137133,dr11,dr11,0.8192896
s_336034_1788,336.5387782042387,0.6949976267426516,dr11,dr11,0.81859833
s_162970_1777,62.55542711441421,-30.62383339683217,dr11,dr11,0.81795996
s_333080_7819,318.17974931930473,0.1557529372470907,dr11,dr11,0.81727105
s_257579_1725,23.34218565278225,-12.867040577590972,dr11,dr11,0.8170377
s_310364_6388,38.20776155606031,-3.390575249827998,dr11,dr11,0.8168813
s_73797_5319,42.49455685930897,-50.943985000901726,dr11,dr11,0.81678295
s_349862_876,193.8275793540373,3.3120648968499307,dr11,dr11,0.81661075
s_325489_4248,220.3875155732048,-0.900380365430375,dr11,dr11,0.81641406
s_490203_118,231.55513058011192,28.83743688775536,dr11,dr11,0.81630725
s_159172_8702,37.56992851538776,-31.36690059094408,dr11,dr11,0.8161477
s_181948_576,63.17899834476918,-26.775595735765396,dr11,dr11,0.8161047
s_327403_2882,338.8263057370136,-0.7964456011258548,dr11,dr11,0.8154928
