[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest_mix.jsonl
[data] 1137 healpix records
[data] healpix split: 1080 train, 57 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 266658 z values, min=-0.0019 max=5.3572
[step   4600] loss=194.5015 z_loss=3.785 spec_loss=1.495 z_acc=0.056 spec_acc=0.590 masked_acc=0.590 rz_masked_acc=0.000 mask_r2=0.803 mask_auc=nan all_r2=0.804 all_auc=nan 0.3 step/s
[step   4700] loss=131.5074 z_loss=2.552 spec_loss=1.343 z_acc=0.176 spec_acc=0.618 masked_acc=0.618 rz_masked_acc=0.000 mask_r2=0.823 mask_auc=nan all_r2=0.824 all_auc=nan 0.3 step/s
[step   4800] loss=161.5064 z_loss=3.139 spec_loss=1.457 z_acc=0.211 spec_acc=0.612 masked_acc=0.604 rz_masked_acc=0.000 mask_r2=0.807 mask_auc=nan all_r2=0.809 all_auc=nan 0.4 step/s
[step   4900] loss=170.7838 z_loss=3.315 spec_loss=1.740 z_acc=0.235 spec_acc=0.522 masked_acc=0.516 rz_masked_acc=0.000 mask_r2=0.771 mask_auc=nan all_r2=0.772 all_auc=nan 0.4 step/s
[step   5000] loss=156.2203 z_loss=3.038 spec_loss=1.215 z_acc=0.350 spec_acc=0.660 masked_acc=0.672 rz_masked_acc=0.250 mask_r2=0.843 mask_auc=nan all_r2=0.841 all_auc=nan 0.4 step/s
[val     5000] loss=218.6275 overall_acc=0.3830 redshift_acc=0.0342 spectrum_acc=0.3842 loss_redshift=4.2421 loss_spectrum=2.3144 loss_total=2.3214 masked_spec_acc=0.3819 redshift_acc_masked=0.0294 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=218.6275 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/best.pt
  [ar_best   5000] ar_redshift_acc=0.017699115044247787 ar_spectrum_acc=0.2143181302473338 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=226
  ckpt -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/step_00005000.pt
[step   5100] loss=162.1351 z_loss=3.157 spec_loss=1.119 z_acc=0.150 spec_acc=0.698 masked_acc=0.680 rz_masked_acc=0.000 mask_r2=0.847 mask_auc=nan all_r2=0.853 all_auc=nan 0.3 step/s
[step   5200] loss=196.6264 z_loss=3.826 spec_loss=1.525 z_acc=0.000 spec_acc=0.569 masked_acc=0.557 rz_masked_acc=0.000 mask_r2=0.796 mask_auc=nan all_r2=0.800 all_auc=nan 0.3 step/s
[step   5300] loss=210.0102 z_loss=4.086 spec_loss=1.594 z_acc=0.143 spec_acc=0.558 masked_acc=0.559 rz_masked_acc=0.000 mask_r2=0.790 mask_auc=nan all_r2=0.791 all_auc=nan 0.4 step/s
[step   5400] loss=151.1678 z_loss=2.936 spec_loss=1.368 z_acc=0.250 spec_acc=0.603 masked_acc=0.594 rz_masked_acc=0.111 mask_r2=0.818 mask_auc=nan all_r2=0.821 all_auc=nan 0.4 step/s
[step   5500] loss=164.8531 z_loss=3.204 spec_loss=1.381 z_acc=0.320 spec_acc=0.603 masked_acc=0.594 rz_masked_acc=0.154 mask_r2=0.813 mask_auc=nan all_r2=0.819 all_auc=nan 0.4 step/s
[val     5500] loss=213.9090 overall_acc=0.3865 redshift_acc=0.0424 spectrum_acc=0.3878 loss_redshift=4.1492 loss_spectrum=2.3029 loss_total=2.3096 masked_spec_acc=0.3863 redshift_acc_masked=0.0253 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=213.9090 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_mix/best.pt
  [ar_best   5500] ar_redshift_acc=0.035398230088495575 ar_spectrum_acc=0.1933612110603261 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=226
[step   5600] loss=150.6210 z_loss=2.923 spec_loss=1.569 z_acc=0.300 spec_acc=0.563 masked_acc=0.557 rz_masked_acc=0.333 mask_r2=0.794 mask_auc=nan all_r2=0.794 all_auc=nan 0.3 step/s
[step   5700] loss=176.5351 z_loss=3.433 spec_loss=1.432 z_acc=0.120 spec_acc=0.591 masked_acc=0.583 rz_masked_acc=0.059 mask_r2=0.808 mask_auc=nan all_r2=0.812 all_auc=nan 0.3 step/s
[step   5800] loss=167.4390 z_loss=3.254 spec_loss=1.454 z_acc=0.167 spec_acc=0.605 masked_acc=0.594 rz_masked_acc=0.091 mask_r2=0.803 mask_auc=nan all_r2=0.809 all_auc=nan 0.4 step/s
[step   5900] loss=191.4691 z_loss=3.730 spec_loss=1.245 z_acc=0.188 spec_acc=0.633 masked_acc=0.642 rz_masked_acc=0.111 mask_r2=0.842 mask_auc=nan all_r2=0.837 all_auc=nan 0.4 step/s
[step   6000] loss=169.4075 z_loss=3.295 spec_loss=1.375 z_acc=0.316 spec_acc=0.622 masked_acc=0.614 rz_masked_acc=0.111 mask_r2=0.817 mask_auc=nan all_r2=0.820 all_auc=nan 0.4 step/s
[val     6000] loss=217.9772 overall_acc=0.3850 redshift_acc=0.0338 spectrum_acc=0.3862 loss_redshift=4.2293 loss_spectrum=2.3007 loss_total=2.3078 masked_spec_acc=0.3855 redshift_acc_masked=0.0291 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
[step   6100] loss=155.6940 z_loss=3.025 spec_loss=1.500 z_acc=0.222 spec_acc=0.564 masked_acc=0.571 rz_masked_acc=0.000 mask_r2=0.806 mask_auc=nan all_r2=0.803 all_auc=nan 0.4 step/s
[step   6200] loss=161.5879 z_loss=3.134 spec_loss=1.857 z_acc=0.267 spec_acc=0.489 masked_acc=0.484 rz_masked_acc=0.143 mask_r2=0.757 mask_auc=nan all_r2=0.757 all_auc=nan 0.4 step/s
[step   6300] loss=151.1809 z_loss=2.937 spec_loss=1.335 z_acc=0.286 spec_acc=0.635 masked_acc=0.624 rz_masked_acc=0.000 mask_r2=0.819 mask_auc=nan all_r2=0.825 all_auc=nan 0.4 step/s
[step   6400] loss=157.6722 z_loss=3.065 spec_loss=1.260 z_acc=0.188 spec_acc=0.633 masked_acc=0.629 rz_masked_acc=0.182 mask_r2=0.831 mask_auc=nan all_r2=0.835 all_auc=nan 0.4 step/s
[step   6500] loss=139.6216 z_loss=2.707 spec_loss=1.507 z_acc=0.273 spec_acc=0.578 masked_acc=0.571 rz_masked_acc=0.000 mask_r2=0.799 mask_auc=nan all_r2=0.802 all_auc=nan 0.4 step/s
