[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest.jsonl
[data] 373 healpix records
[data] healpix split: 354 train, 19 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 265687 z values, min=-0.0019 max=5.6786
[step   3600] loss=223.8362 z_loss=4.346 spec_loss=2.200 z_acc=0.111 spec_acc=0.388 masked_acc=0.381 rz_masked_acc=0.000 mask_r2=0.709 mask_auc=nan all_r2=0.712 all_auc=nan 0.4 step/s
[step   3700] loss=230.0500 z_loss=4.467 spec_loss=2.220 z_acc=0.043 spec_acc=0.383 masked_acc=0.375 rz_masked_acc=0.000 mask_r2=0.706 mask_auc=nan all_r2=0.709 all_auc=nan 0.4 step/s
[step   3800] loss=241.4464 z_loss=4.694 spec_loss=2.160 z_acc=0.000 spec_acc=0.425 masked_acc=0.424 rz_masked_acc=0.000 mask_r2=0.714 mask_auc=nan all_r2=0.717 all_auc=nan 0.4 step/s
[step   3900] loss=221.5625 z_loss=4.305 spec_loss=2.095 z_acc=0.000 spec_acc=0.405 masked_acc=0.399 rz_masked_acc=0.000 mask_r2=0.725 mask_auc=nan all_r2=0.725 all_auc=nan 0.4 step/s
[step   4000] loss=237.5938 z_loss=4.615 spec_loss=2.300 z_acc=0.043 spec_acc=0.378 masked_acc=0.374 rz_masked_acc=0.071 mask_r2=0.698 mask_auc=nan all_r2=0.699 all_auc=nan 0.4 step/s
[val     4000] loss=224.2052 overall_acc=0.4167 redshift_acc=0.0182 spectrum_acc=0.4181 loss_redshift=4.3559 loss_spectrum=2.1134 loss_total=2.1216 masked_spec_acc=0.4160 redshift_acc_masked=0.0187 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=224.2052 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/best.pt
  [ar_best   4000] ar_redshift_acc=0.02040816326530612 ar_spectrum_acc=0.17219854974957016 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=196
[step   4100] loss=228.5570 z_loss=4.437 spec_loss=2.257 z_acc=0.000 spec_acc=0.376 masked_acc=0.377 rz_masked_acc=0.000 mask_r2=0.703 mask_auc=nan all_r2=0.704 all_auc=nan 0.4 step/s
[step   4200] loss=241.8282 z_loss=4.694 spec_loss=2.383 z_acc=0.000 spec_acc=0.329 masked_acc=0.332 rz_masked_acc=0.000 mask_r2=0.687 mask_auc=nan all_r2=0.688 all_auc=nan 0.4 step/s
[step   4300] loss=215.9328 z_loss=4.192 spec_loss=2.128 z_acc=0.050 spec_acc=0.426 masked_acc=0.430 rz_masked_acc=0.000 mask_r2=0.724 mask_auc=nan all_r2=0.721 all_auc=nan 0.4 step/s
[step   4400] loss=217.2668 z_loss=4.220 spec_loss=2.099 z_acc=0.000 spec_acc=0.425 masked_acc=0.429 rz_masked_acc=0.000 mask_r2=0.726 mask_auc=nan all_r2=0.725 all_auc=nan 0.4 step/s
[step   4500] loss=212.9364 z_loss=4.137 spec_loss=1.996 z_acc=0.048 spec_acc=0.460 masked_acc=0.452 rz_masked_acc=0.000 mask_r2=0.735 mask_auc=nan all_r2=0.738 all_auc=nan 0.4 step/s
[val     4500] loss=222.3110 overall_acc=0.4235 redshift_acc=0.0276 spectrum_acc=0.4250 loss_redshift=4.3184 loss_spectrum=2.0818 loss_total=2.0900 masked_spec_acc=0.4223 redshift_acc_masked=0.0267 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=222.3110 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/best.pt
  [ar_best   4500] ar_redshift_acc=0.02040816326530612 ar_spectrum_acc=0.16354563803543395 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=196
[step   4600] loss=236.5439 z_loss=4.594 spec_loss=2.230 z_acc=0.000 spec_acc=0.389 masked_acc=0.390 rz_masked_acc=0.000 mask_r2=0.706 mask_auc=nan all_r2=0.708 all_auc=nan 0.4 step/s
[step   4700] loss=207.9843 z_loss=4.033 spec_loss=2.320 z_acc=0.056 spec_acc=0.361 masked_acc=0.355 rz_masked_acc=0.000 mask_r2=0.688 mask_auc=nan all_r2=0.696 all_auc=nan 0.4 step/s
