name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z,score_l18,sep_l18,in_parent_l18,score_shielded,sep_shielded,in_parent_shielded,in_training,score_combined,in_parent_combined
DESI-044.4344-20.1488,44.4344,-20.1488,A,3.5,l18,DECaLS,0.49,DC,,0.711+/-0.025,0.9651093482971191,0.5400919843210429,True,0.989069938659668,0.5400919843210429,True,True,0.989069938659668,True
DESI-044.7161-19.9477,44.7161,-19.9477,A,3.5,shielded,DECaLS,0.89,REX,,0.535+/-0.327,0.0009569447138346732,36.91341598046457,False,0.003223152132704854,36.91341598046457,False,False,0.003223152132704854,False
DESI-044.9811+01.1387,44.9811,1.1387,A,3.5,l18,DECaLS,1.0,DC,,0.834+/-0.079,0.9999492168426514,0.1616942348705249,True,0.9995269775390625,0.1616942348705249,True,True,0.9999492168426514,True
DESI-046.7690-06.4805,46.769,-6.4805,A,4.0,l18,DECaLS,0.33,DC,,0.480+/-0.105,0.9357647895812988,4.01161883545451,True,0.9787065982818604,4.01161883545451,True,True,0.9787065982818604,True
DESI-047.1434-32.9919,47.1434,-32.9919,A,3.5,shielded,DECaLS,0.22,REX,,0.500+/-0.091,0.011310741305351257,14.295402523569278,False,0.008327732793986797,14.295402523569278,False,False,0.011310741305351257,False
DESI-049.8264+02.0934,49.8264,2.0934,A,3.5,shielded,DECaLS,0.9,REX,0.3189,,0.9990465044975281,0.830932358844804,True,0.9966630339622498,0.830932358844804,True,False,0.9990465044975281,True
DESI-051.8321-21.6081,51.8321,-21.6081,A,3.5,l18,DECaLS,0.16,REX,,0.502+/-0.201,0.7710651755332947,6.217258117442146,False,0.9587492346763611,6.217258117442146,False,True,0.9587492346763611,False
DESI-053.6254-13.1866,53.6254,-13.1866,A,4.0,l18,DECaLS,1.0,DC,,0.362+/-0.010,0.9999639987945557,0.20610858915599395,True,0.9995276927947998,0.20610858915599395,True,True,0.9999639987945557,True
DESI-055.0891-25.5584,55.0891,-25.5584,A,3.5,l18,DECaLS,1.0,DC,,0.667+/-0.047,0.999925971031189,0.18355617406101313,True,0.9990737438201904,0.18355617406101313,True,True,0.999925971031189,True
DESI-055.7976-28.4777,55.7976,-28.4777,A,4.0,l18,DECaLS,1.0,DC,,0.447+/-0.049,0.9997020363807678,0.20395749354765189,True,0.9907201528549194,0.20395749354765189,True,True,0.9997020363807678,True
DESI-057.2074-10.2962,57.2074,-10.2962,A,4.0,l18,DECaLS,1.0,DC,,0.745+/-0.075,0.9999520778656006,0.1750578014716469,True,0.9991191029548645,0.1750578014716469,True,True,0.9999520778656006,True
DESI-057.9070-07.8706,57.907,-7.8706,A,3.5,l18,DECaLS,1.0,DC,,0.677+/-0.051,0.9995244741439819,0.039656621691726374,True,0.9991368651390076,0.039656621691726374,True,True,0.9995244741439819,True
DESI-058.6486-30.5959,58.6486,-30.5959,A,4.0,l18,DECaLS,0.12,DC,,0.173+/-0.021,0.6972167491912842,0.0920719428551075,True,0.8912016153335571,0.0920719428551075,True,True,0.8912016153335571,True
DESI-058.7926-18.5262,58.7926,-18.5262,A,4.0,l18,DECaLS,1.0,DC,,0.282+/-0.011,0.9999868869781494,0.0958699747803996,True,0.9998676776885986,0.0958699747803996,True,True,0.9999868869781494,True
DESI-060.5238-22.0990,60.5238,-22.099,A,4.0,l18,DECaLS,1.0,DC,,0.367+/-0.051,0.9999674558639526,0.09286711464727476,True,0.9999350309371948,0.09286711464727476,True,True,0.9999674558639526,True
DESI-060.7613-21.3645,60.7613,-21.3645,A,3.5,shielded,DECaLS,0.28,REX,,0.455+/-0.100,0.004839403089135885,1.4926489794771527,True,0.7281776666641235,1.4926489794771527,True,False,0.7281776666641235,True
DESI-060.9953-26.0348,60.9953,-26.0348,A,3.5,shielded,DECaLS,0.8,REX,,0.289+/-0.083,0.9815686345100403,0.16283235038609298,True,0.9947165846824646,0.16283235038609298,True,False,0.9947165846824646,True
DESI-063.0145-18.9874,63.0145,-18.9874,A,3.5,shielded,DECaLS,0.18,REX,,0.572+/-0.073,0.39327678084373474,3.3455982864918337,True,0.2764017581939697,3.3455982864918337,True,False,0.39327678084373474,True
DESI-064.8536-25.2248,64.8536,-25.2248,A,4.0,l18,DECaLS,0.98,DC,,0.360+/-0.012,0.9996263980865479,0.14732781736542128,True,0.9948114156723022,0.14732781736542128,True,True,0.9996263980865479,True
DESI-065.6447-28.0652,65.6447,-28.0652,A,4.0,l18,DECaLS,0.53,DC,,0.641+/-0.036,0.9126314520835876,0.08384903691350394,True,0.9839116334915161,0.08384903691350394,True,True,0.9839116334915161,True
DESI-066.1601-07.6524,66.1601,-7.6524,A,4.0,shielded,DECaLS,0.79,REX,,0.278+/-0.049,0.9740978479385376,0.1770084513319854,True,0.9763677716255188,0.1770084513319854,True,False,0.9763677716255188,True
DESI-066.3798-37.7174,66.3798,-37.7174,A,3.5,shielded,DECaLS,0.23,REX,,0.290+/-0.041,0.909970223903656,0.35971347984060514,True,0.24497590959072113,0.35971347984060514,True,False,0.909970223903656,True
DESI-067.4729-29.9597,67.4729,-29.9597,A,3.5,l18,DECaLS,0.25,DC,,0.716+/-0.015,0.8177541494369507,0.12623391986623148,True,0.9555285573005676,0.12623391986623148,True,True,0.9555285573005676,True
DESI-069.0007-11.5477,69.0007,-11.5477,A,4.0,l18,DECaLS,0.91,DC,,0.425+/-0.033,0.9933580756187439,0.10937282077932048,True,0.9968642592430115,0.10937282077932048,True,True,0.9968642592430115,True
DESI-070.1899-18.4737,70.1899,-18.4737,A,3.5,l18,DECaLS,0.63,DC,,0.526+/-0.010,0.6827614903450012,0.18801560753468363,True,0.8135018348693848,0.18801560753468363,True,True,0.8135018348693848,True
DESI-070.1928-26.9754,70.1928,-26.9754,A,4.0,l18,DECaLS,0.82,DC,,0.500+/-0.011,0.9009552001953125,0.12549614385621136,True,0.9903873801231384,0.12549614385621136,True,True,0.9903873801231384,True
DESI-070.4130-09.7774,70.413,-9.7774,A,4.0,l18,DECaLS,1.0,DC,,0.437+/-0.036,0.34452030062675476,0.5441524666057118,True,0.7224071025848389,0.5441524666057118,True,True,0.7224071025848389,True
DESI-070.6171-09.1904,70.6171,-9.1904,A,3.5,l18,DECaLS,0.55,DC,,0.588+/-0.016,0.938065230846405,0.1808645399530985,True,0.9545314908027649,0.1808645399530985,True,True,0.9545314908027649,True
DESI-073.5286-10.2227,73.5286,-10.2227,A,3.5,l18,DECaLS,0.89,DC,,0.311+/-0.130,0.9999769926071167,0.1730212943848643,True,0.9995942711830139,0.1730212943848643,True,True,0.9999769926071167,True
DESI-073.9030-25.5129,73.903,-25.5129,A,4.0,shielded,DECaLS,0.51,REX,,0.475+/-0.051,0.5906505584716797,0.41784469695497073,True,0.6334667801856995,0.41784469695497073,True,False,0.6334667801856995,True
DESI-074.9643-30.7236,74.9643,-30.7236,A,4.0,l18,DECaLS,1.0,DC,,0.431+/-0.017,0.9999692440032959,0.18111421474637732,True,0.9998924732208252,0.18111421474637732,True,True,0.9999692440032959,True
DESI-075.2790-24.4179,75.279,-24.4179,A,4.0,l18,DECaLS,0.9,DC,,0.289+/-0.106,0.14128047227859497,0.30653662696485934,True,0.9061122536659241,0.30653662696485934,True,True,0.9061122536659241,True
DESI-078.3561-30.8433,78.3561,-30.8433,A,4.0,l18,DECaLS,0.63,DC,,0.387+/-0.021,0.999884843826294,0.15507582760828983,True,0.999816358089447,0.15507582760828983,True,True,0.999884843826294,True
DESI-081.7547-18.9674,81.7547,-18.9674,A,4.0,l18,DECaLS,1.0,DC,,0.439+/-0.013,0.9999202489852905,0.15685693791777655,True,0.9983283877372742,0.15685693791777655,True,True,0.9999202489852905,True
DESI-082.1548-26.5667,82.1548,-26.5667,A,4.0,l18,DECaLS,1.0,DC,,0.840+/-0.043,0.9997642636299133,0.11771701984549676,True,0.999760091304779,0.11771701984549676,True,True,0.9997642636299133,True
