unit_id,candidate_id,alias_ids,system_id,ra_deg,dec_deg,stratum,substratum,pipe_grade_passcount,pipe_inspector_conf,pipe_score,center_galaxy_type,rank_top100,prior_exposure,lit_known,layout,cowls_ranking,cowls_theta_E,known_lens_name,known_type,known_sep_arcsec,desi_pool_overlap,desi_pool_split,sw_obs,lw_obs,sw_filter,lw_filter,proposal,field_id
u0104,J17740281+2243662,,104,177.4028120662046,22.43662029558182,L_known,pipe_D,D,38.0,0.3459292400400877,s0,,0,True,color,,,[DRJ2018] MACS1149 A.1,SIMBAD:LeI,0.93,False,,jw01199-o005_t001_nircam_clear-f150w,jw01199-o005_t001_nircam_clear-f277w,F150W,F277W,1199,117
u0105,J1747804-3079539,,105,17.47804337785421,-30.79538789600162,T_U,,U,25.0,1.2503782249974322,merger,98,1,False,color,,,,,,False,,jw02078-o001_t001_nircam_clear-f200w,jw02078-o001_t001_nircam_clear-f356w,F200W,F356W,2078,568
u0106,J15004059+241551,,106,150.0405915758345,2.415508830449455,L_known,unflagged,,,,elliptical,,0,True,color,,,[FKC2008] COSMOS 0009+2455,SIMBAD:gLS,1.04,False,,jw01727-o049_t043_nircam_clear-f150w,jw01727-o049_t043_nircam_clear-f277w,F150W,F277W,1727,47
u0107,J34707505-219476,,107,347.0750458424562,-2.194758020301144,T_verified,A,A,78.0,3.7004702582775497,elliptical,3,2,False,color,,,,,,True,train,jw06882-o045_t049_nircam_clear-f150w,jw06882-o045_t049_nircam_clear-f277w,F150W,F277W,6882,210
u0108,J14920654+6969086,,108,149.20654140510675,69.69085758869083,T_U,,U,26.0,1.2574860309035198,irregular,52,1,False,color,,,,,,False,,jw05145-o019_t001_nircam_clear-f200w,jw05145-o019_t001_nircam_clear-f444w,F200W,F444W,5145,135
u0109,J15199556+2122210,,109,151.9955645970115,21.2221016116179,T_verified,A,A,82.0,3.7357062765822913,elliptical,2,2,False,color,,,,,,False,,jw02073-o003_t001_nircam_clear-f115w,jw02073-o003_t001_nircam_clear-f277w,F115W,F277W,2073,530
u0110,J357894-3039410,,110,3.57893652867098,-30.39409765585977,U_tail,rank_101_300,U,25.0,1.2490686402759112,elliptical,,0,False,color,,,,,,False,,jw02561-o001_t003_nircam_clear-f150w,jw02561-o001_t003_nircam_clear-f277w,F150W,F277W,2561,100
u0111,J4429240-2347200,,111,44.29240279480809,-23.47200262491385,T_U,,U,25.0,1.2526172500419752,elliptical,65,1,False,color,,,,,,False,,jw06882-o013_t013_nircam_clear-f150w,jw06882-o013_t013_nircam_clear-f277w,F150W,F277W,6882,53
u0112,J4312165-2100739,,112,43.12164796276717,-21.00738833045095,T_U,,U,27.0,1.2592778322415947,elliptical,48,1,True,color,,,VIRTUAL PARENT eMACS J0252.4-2100,SIMBAD:gLS,1.47,False,,jw05594-o107_t109_nircam_clear-f150w2,jw05594-o107_t109_nircam_clear-f322w2,F150W2,F322W2,5594,260
u0113,J15037549+237083,,113,150.3754922505767,2.370832344780458,K_cowls,unflagged,,,,s0,,0,True,color,ABBBXX,0.0,COSJ100130+022214,COWLS,0.0199413710891071,False,,jw01727-o030_t114_nircam_clear-f150w,jw01727-o030_t114_nircam_clear-f277w,F150W,F277W,1727,47
u0114,J21007480+1455269,,114,210.0747970447537,14.55269341755846,T_U,,U,25.0,1.2521154062863349,merger,72,1,False,color,,,,,,False,,jw03849-o001_t001_nircam_clear-f150w,jw03849-o001_t001_nircam_clear-f322w2,F150W,F322W2,3849,436
u0115,J22963308-8151071,,115,229.633076938451,-81.5107084244177,D_refuted,other,D,28.0,0.269581058644705,s0,,0,False,color,,,,,,False,,jw05594-o074_t076_nircam_clear-f150w2,jw05594-o074_t076_nircam_clear-f322w2,F150W2,F322W2,5594,329
