row_index,Name,RA,DEC,tractor_type,Score,Probability,resnet_model,Region,Spec,photo_z,g_mag,r_mag,z_mag,row_id,status_fits,bytes_fits,attempts_fits
84,DESI-070.4130-09.7774,70.413,-9.7774,DC,4.0,1.0,L18,DECaLS,,0.437+/-0.036,21.92,20.18,19.19,DESI-070.4130-09.7774,ok,126720,1
85,DESI-070.6171-09.1904,70.6171,-9.1904,DC,3.5,0.55,L18,DECaLS,,0.588+/-0.016,21.86,19.88,18.44,DESI-070.6171-09.1904,ok,126720,1
86,DESI-073.5286-10.2227,73.5286,-10.2227,DC,3.5,0.89,L18,DECaLS,,0.311+/-0.130,20.89,19.52,18.71,DESI-073.5286-10.2227,ok,126720,1
88,DESI-074.9643-30.7236,74.9643,-30.7236,DC,4.0,1.0,L18,DECaLS,,0.431+/-0.017,20.45,18.62,17.61,DESI-074.9643-30.7236,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=74.964300&dec=-30.723600&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
89,DESI-075.2790-24.4179,75.279,-24.4179,DC,4.0,0.9,L18,DECaLS,,0.289+/-0.106,20.7,19.29,18.47,DESI-075.2790-24.4179,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=75.279000&dec=-24.417900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
90,DESI-078.3561-30.8433,78.3561,-30.8433,DC,4.0,0.63,L18,DECaLS,,0.387+/-0.021,19.73,18.0,17.06,DESI-078.3561-30.8433,fail: HTTP 429,0,5
91,DESI-081.7547-18.9674,81.7547,-18.9674,DC,4.0,1.0,L18,DECaLS,,0.439+/-0.013,20.45,18.56,17.53,DESI-081.7547-18.9674,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=81.754700&dec=-18.967400&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
92,DESI-082.1548-26.5667,82.1548,-26.5667,DC,4.0,1.0,L18,DECaLS,,0.840+/-0.043,23.04,21.18,19.31,DESI-082.1548-26.5667,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=82.154800&dec=-26.566700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
94,DESI-086.3066-26.5884,86.3066,-26.5884,DC,4.0,1.0,L18,DECaLS,,0.448+/-0.083,21.27,19.87,19.1,DESI-086.3066-26.5884,fail: HTTP 429,0,5
95,DESI-087.1525-36.2427,87.1525,-36.2427,REX,4.0,0.42,L18,DECaLS,,0.305+/-0.036,18.33,16.77,15.92,DESI-087.1525-36.2427,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=87.152500&dec=-36.242700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
96,DESI-090.9854-35.9683,90.9854,-35.9683,REX,4.0,0.9,L18,DECaLS,,0.529+/-0.115,22.97,20.92,19.76,DESI-090.9854-35.9683,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=90.985400&dec=-35.968300&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
97,DESI-094.5639+50.3059,94.5639,50.3059,DC,3.5,1.0,L18,MzLS,,0.522+/-0.020,21.29,19.54,18.24,DESI-094.5639+50.3059,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=94.563900&dec=50.305900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
98,DESI-102.2440+36.2021,102.244,36.2021,DC,3.5,1.0,L18,MzLS,,0.659+/-0.047,21.7,20.27,18.78,DESI-102.2440+36.2021,fail: HTTP 429,0,5
99,DESI-104.1909+38.7456,104.1909,38.7456,DC,4.0,1.0,L18,MzLS,0.4549,,21.08,19.89,18.36,DESI-104.1909+38.7456,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=104.190900&dec=38.745600&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
100,DESI-107.5775+40.1752,107.5775,40.1752,DC,4.0,1.0,L18,MzLS,0.2928,,19.2,17.62,16.74,DESI-107.5775+40.1752,fail: HTTP 429,0,5
101,DESI-109.4199+46.4087,109.4199,46.4087,DC,3.5,0.9,L18,MzLS,,0.429+/-0.074,19.11,17.43,16.3,DESI-109.4199+46.4087,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=109.419900&dec=46.408700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
102,DESI-109.9018+27.9032,109.9018,27.9032,DC,4.0,0.63,L18,DECaLS,,0.533+/-0.016,21.04,19.2,17.97,DESI-109.9018+27.9032,ok,126720,1
103,DESI-109.9255+57.3569,109.9255,57.3569,DC,4.0,0.21,L18,MzLS,,0.747+/-0.044,21.81,20.3,18.63,DESI-109.9255+57.3569,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=109.925500&dec=57.356900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
104,DESI-110.4891+49.8801,110.4891,49.8801,DC,4.0,0.16,L18,MzLS,,0.430+/-0.022,19.42,17.62,16.55,DESI-110.4891+49.8801,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=110.489100&dec=49.880100&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
106,DESI-115.3417+37.4889,115.3417,37.4889,DC,3.5,0.96,L18,MzLS,0.6031,,21.79,20.29,18.82,DESI-115.3417+37.4889,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=115.341700&dec=37.488900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
107,DESI-116.3092+33.6326,116.3092,33.6326,DC,3.5,0.33,L18,MzLS,0.5642,,22.8,20.94,19.19,DESI-116.3092+33.6326,skip,126720,0
108,DESI-118.4491+20.9528,118.4491,20.9528,DC,4.0,0.99,L18,DECaLS,0.5866,,22.71,20.25,18.27,DESI-118.4491+20.9528,ok,126720,1
109,DESI-118.8480+34.7610,118.848,34.761,DC,4.0,1.0,L18,MzLS,0.7224,,22.89,21.29,19.46,DESI-118.8480+34.7610,skip,126720,0
110,DESI-130.6476+30.3670,130.6476,30.367,DC,3.5,0.33,L18,DECaLS,0.5041,,24.01,22.4,20.42,DESI-130.6476+30.3670,skip,126720,0
111,DESI-131.6362-01.9047,131.6362,-1.9047,DC,3.5,1.0,L18,DECaLS,0.5422,,22.25,20.62,18.74,DESI-131.6362-01.9047,skip,126720,0
