name,RA,DEC,grade,nearest_row_id,nearest_sep_arcsec,nearest_score,in_scored_set
DESI-015.2403-16.9542,15.2403,-16.9542,C,233878_5271,0.0980659024531691,0.1494458168745041,True
DESI-015.2570-17.7561,15.257,-17.7561,C,229750_3215,0.16823227376165645,0.9996671676635742,True
DESI-015.3628-00.9079,15.3628,-0.9079,C,324669_5774,0.18003905063572345,0.96811443567276,True
DESI-015.3792-03.3438,15.3792,-3.3438,C,311711_1063,2.2305452693575725,0.5596614480018616,True
DESI-015.8070-17.7531,15.807,-17.7531,C,229752_3230,0.1319711530892915,0.9127807021141052,True
DESI-015.9669-18.0271,15.9669,-18.0271,C,228380_3353,0.13147830863212573,0.9195667505264282,True
DESI-016.1507-00.5780,16.1507,-0.578,C,327552_2019,0.16501406984242403,0.013605219312012196,True
DESI-016.1763-02.4491,16.1763,-2.4491,C,316032_5466,0.13664042670873025,0.3635786771774292,True
DESI-016.1889-00.5809,16.1889,-0.5809,C,327552_1855,0.2190439136076531,0.22605015337467194,True
DESI-016.2032-00.6226,16.2032,-0.6226,C,327552_149,0.20191962940167243,0.80961674451828,True
DESI-016.2995-00.0690,16.2995,-0.069,C,330433_2310,0.057519894812987395,0.05695480480790138,True
DESI-016.3200+00.9163,16.32,0.9163,C,336193_1459,0.21861962272297156,0.5005385875701904,True
DESI-016.4625+02.8614,16.4625,2.8614,C,346273_6718,0.18160701460277565,0.29486510157585144,True
DESI-016.4883-00.1774,16.4883,-0.1774,C,328993_7415,0.16242051402696342,0.11659060418605804,True
DESI-016.8009-16.8580,16.8009,-16.858,C,235262_585,0.19989083819175354,0.9998965263366699,True
DESI-016.8554-00.7320,16.8554,-0.732,C,326115_4976,0.08706219212347724,0.9340408444404602,True
DESI-016.9199-05.3919,16.9199,-5.3919,C,298787_8820,0.025589044536495003,0.9576549530029297,True
DESI-016.9228-03.8680,16.9228,-3.868,C,308841_282,0.13887285483293943,0.1593940705060959,True
DESI-016.9682+00.3567,16.9682,0.3567,C,331875_7722,0.09361322737243369,0.9855124354362488,True
DESI-017.2362-17.9241,17.2362,-17.9241,C,228385_5430,0.07609800007872486,0.29959172010421753,True
DESI-018.0415+00.1861,18.0415,0.1861,C,331880_2417,0.17507865708515113,0.9801760315895081,True
DESI-018.4701+03.4968,18.4701,3.4968,C,350599_3174,0.17728700262737668,0.9980691075325012,True
DESI-019.8976-12.8253,19.8976,-12.8253,C,257565_1683,0.20511771734412673,0.9733898043632507,True
DESI-020.3517+00.1654,20.3517,0.1654,C,331889_1585,0.11898815510647619,0.02731172740459442,True
DESI-020.5273-04.8117,20.5273,-4.8117,C,303107_1957,0.17524214609220687,0.9774810075759888,True
DESI-021.5439-00.5883,21.5439,-0.5883,C,327574_1391,0.09110876159844085,0.9249439239501953,True
DESI-021.8518-05.7560,21.8518,-5.756,C,297373_3986,0.07494751957362147,0.31917110085487366,True
DESI-021.9637+00.0975,21.9637,0.0975,C,330455_7384,0.1409372993772271,0.09832791984081268,True
DESI-022.6104-15.3370,22.6104,-15.337,C,243595_1208,0.1636290408319119,0.9999735355377197,True
DESI-023.6659-06.9344,23.6659,-6.9344,C,290220_4859,0.08654601558247159,0.7190409898757935,True
DESI-023.7790+01.5306,23.779,1.5306,C,339103_5898,0.11491555505384166,0.9981191754341125,True
DESI-024.7012-07.5349,24.7012,-7.5349,C,287364_3714,0.09802550393275924,0.9980316758155823,True
DESI-025.8361-10.0680,25.8361,-10.068,C,273127_1337,0.15535586747930719,0.9992984533309937,True
DESI-026.2451-01.5934,26.2451,-1.5934,C,321832_1287,0.1380168427701207,0.9970111846923828,True
DESI-026.2771-00.7284,26.2771,-0.7284,C,326153_3941,0.17410744725900984,0.9140356779098511,True
DESI-027.5388-12.3284,27.5388,-12.3284,C,260409_1263,0.113319358145944,0.9995309114456177,True
DESI-027.8872-08.5764,27.8872,-8.5764,C,281668_1715,0.17891500062532076,0.7968318462371826,True
DESI-028.2710-09.8289,28.271,-9.8289,C,274557_1628,0.13016406713800763,0.902655839920044,True
DESI-028.3093-00.4385,28.3093,-0.4385,C,327601_5244,0.2135464798642378,0.9964579939842224,True
DESI-028.8348-13.9044,28.8348,-13.9044,C,250591_6084,0.12659036167520976,0.1762809455394745,True
