row_id,RA,DEC,brick,head_score,v3blend8,v2_pfinal,mimic_p,mimic_fdr_sel
s_177343_8331,210.44793555522364,-27.689664336942826,2103m277,5.0730785616525225,0.42675948340588576,0.5428350882553065,0.00016889039013680122,False
s_477897_6042,6.680564246845061,26.388948816548783,0065p265,5.056601397801675,0.6863766569141406,0.7441078119665557,0.00016889039013680122,False
s_449318_3966,135.47265323029785,21.02309553922801,1354p210,5.0252961559045985,0.7382408116139729,0.7510660463774615,0.00016889039013680122,False
s_215451_6323,197.28870475345795,-20.604712437050765,1972m205,4.998503796502615,0.7306260481572665,0.7621980929528104,0.00016889039013680122,False
s_46593_9380,41.77724721928331,-59.29207235439411,0415m592,4.981095010060985,0.6906638537776264,0.8208835767597822,0.00016889039013680122,False
s_253369_10017,23.595994243334104,-13.376354138884055,0234m135,4.966502130688687,0.250078055904828,0.20839842206183667,0.00016889039013680122,False
s_292150_4514,149.45348573171898,-6.7200503024458795,1494m067,4.904396033573212,0.7557440280927242,0.8594575333615972,0.00016889039013680122,False
s_111597_5091,23.121686881239555,-41.44747036992493,0231m415,4.8668414590515425,0.38210756417351144,0.44099658119658114,0.0002364465461915217,False
s_504880_3767,152.07714443511526,31.699490892938247,1520p317,4.8255602287608665,0.7574868492312906,0.8450046705448908,0.0002364465461915217,False
s_315031_3329,125.8896972978857,-2.6460934577325914,1258m027,4.818475350096462,0.5522793901084994,0.5644157703112179,0.0002364465461915217,False
s_362671_4934,163.1262602658563,5.439863775510395,1630p055,4.810980020998584,0.7092732820210961,0.7540336661812634,0.0002364465461915217,False
s_406994_2227,231.36323350365421,13.258831791628909,2314p132,4.807122023686198,0.8206766286441401,0.8829633536257292,0.0002364465461915217,False
s_82090_1688,14.4037043998549,-48.80404391899772,0145m487,4.804371509873551,0.8057579165365519,0.8937102243369773,0.0002364465461915217,False
s_389676_2685,133.6196936631354,10.137427887354367,1336p102,4.789095452515488,0.7943179912160839,0.9390905987089484,0.0002364465461915217,False
s_392000_3000,3.691722286671326,10.813178972766625,0036p107,4.789069616467811,0.2685885310663535,0.20885408111314038,0.0002364465461915217,False
s_131122_6590,205.56921791612424,-37.19100543409941,2055m372,4.76887967917069,0.6633632783418392,0.6830985020270735,0.0002364465461915217,False
s_258213_3857,185.82972522496695,-12.793572072340085,1857m127,4.753825242104041,0.5341690118253875,0.5463272966730133,0.0002364465461915217,False
s_244959_8774,15.512323255481299,-15.007927584825573,0153m150,4.751147640332447,0.7659709872567041,0.8682392790736172,0.0002364465461915217,False
s_224550_1029,88.06565720162241,-18.82265609547993,0881m187,4.726963786655319,0.6276478706071629,0.6607611036530898,0.0002364465461915217,False
s_310233_4361,5.376980716460024,-3.459792790231557,0053m035,4.721047183709765,0.7195559896024373,0.816226310649285,0.0002364465461915217,False
s_145922_11357,68.91424835671904,-33.943455051305634,0687m340,4.718256006937798,0.5900970918485078,0.7246451530667204,0.0002364465461915217,False
s_16272_689,45.06379427108824,-71.905294011584,0454m720,4.716269078964994,0.5644860894466771,0.6561124061124061,0.0002364465461915217,False
s_272205_6008,151.80897061541646,-10.351709252335723,1516m102,4.700814022675198,0.7130927678445318,0.8966461542645039,0.00030400270224624216,False
s_37922_7006,289.04037267905994,-62.597701976991885,2891m625,4.693644623567705,0.5507805431722765,0.6302916616939173,0.00030400270224624216,False
s_231336_4977,70.80412127141601,-17.57515606574975,0707m175,4.6887588475984625,0.7035531650963216,0.8607899021677635,0.00030400270224624216,False
s_423389_875,144.92662708546416,16.358678073455966,1450p162,4.6863581744252185,0.4672622568382157,0.5324348406029078,0.00030400270224624216,False
s_432511_156,7.094069448562291,17.956688531488037,0072p180,4.671889865055325,0.5214814205117682,0.5517747098839536,0.00030400270224624216,False
s_467105_3529,266.2775841318529,24.224314141679105,2663p242,4.665107488424078,0.895535753395081,0.925286068480683,0.00030400270224624216,False
s_238683_1377,188.1191132095891,-16.35296849989763,1881m162,4.652049199199052,0.5031098097571816,0.613158148137434,0.00030400270224624216,False
s_325219_16357,152.99073130082584,-0.9206086595142158,1528m010,4.636068482970955,0.3068448249652965,0.355297650368062,0.00030400270224624216,False
s_415044_3862,143.2260825799858,14.724296908327968,1431p147,4.623450871641386,0.6483222308079919,0.7485721150748764,0.00030400270224624216,False
s_326217_3241,42.299597651608714,-0.8136043873783405,0423m007,4.614182696934332,0.8084864995669331,0.9390905987089484,0.00030400270224624216,False
s_238488_983,137.38289682094776,-16.238095498874028,1374m162,4.61401170925796,0.5929076973390819,0.5836094504661944,0.00030400270224624216,False
s_130242_7020,289.80177648018804,-37.53146627142228,2897m375,4.606938110213889,0.659064268539767,0.7047699180768656,0.00030400270224624216,False
s_194944_4525,59.204445052117336,-24.14473272384373,0592m242,4.560847012070992,0.813935860909131,0.8453009544485518,0.00030400270224624216,False
s_290988_3260,217.14294065544206,-7.096287008465805,2171m070,4.5465600722765265,0.7300700389075782,0.9390905987089484,0.00030400270224624216,False
s_495714_5032,9.49849646054968,29.884474535207538,0093p300,4.5373188938025715,0.8356984286666784,0.8969805644608932,0.00033778078027360244,False
s_370040_4735,214.39980291850515,6.663572379308975,2143p067,4.525315831991491,0.7940398073937875,0.8436601029628725,0.00033778078027360244,False
s_405220_1842,136.46547476341922,13.030701972432954,1365p130,4.51484358549151,0.8844267114942267,0.9249904131801914,0.00033778078027360244,False
s_72024_4215,55.37838459893382,-51.51239079654536,0554m515,4.509772126198965,0.8512498129063597,0.940724585637053,0.00033778078027360244,False
