row_id,RA,DEC,v3blend8,head,euclid_grade,euclid_fits,known
s_85087_7631,60.84644486467522,-48.11020701794861,0.4555105080944486,1.5575201817382371,,False,False
s_88003_6260,60.69423880893793,-47.323028855503146,0.4547041475743754,-1.471001006974305,,False,False
s_171705_14784,52.31567766469818,-28.626963546965545,0.45454186349525116,-0.3858400903690198,,False,False
s_176787_2014,53.34037190955626,-27.719680963200005,0.4542434728355147,-7.579730243442336,,False,False
s_83163_3672,59.83305157636233,-48.40139324104852,0.4516558928589802,2.7998307368314244,,False,False
s_179346_14889,54.19001158062985,-27.19633954385605,0.45033977608545683,-8.725926573722955,,False,False
s_171707_20443,52.94258948631717,-28.861327705562942,0.4490969525068067,-1.058071626584991,,False,False
s_174239_5024,52.5173899948836,-28.3433046153113,0.448598209550255,-2.7020259568083134,,False,False
s_171709_14433,53.47948300867763,-28.717576707374675,0.4485762739350321,-2.859884966517349,,False,False
s_175517_12995,54.81832708317791,-27.89296278059672,0.4478004273260012,-1.8580987813670542,C,False,False
s_181913_5098,53.4954653645926,-26.862245499538215,0.44774145745032,-2.7897606981598955,,False,False
s_81272_6032,63.895789103801796,-49.029526208859956,0.4476094319834374,-0.36473087363417234,,False,False
s_179345_7831,53.77572777418423,-27.220306361201626,0.4475936942617409,-2.178088952487,,False,False
s_81269_6431,62.768642321383595,-49.07493194544957,0.4468744749465259,-8.252493106198166,,False,False
s_175507_1479,51.72483453213889,-27.876364317619558,0.4467525511281565,-1.8219264768653374,,False,False
s_167932_13262,53.57663000029499,-29.404763593731758,0.44653466042655054,-1.9357357378454636,,False,False
s_88996_11913,65.32079930630222,-47.08532526377708,0.44530528225004673,0.09917373926391693,,False,True
s_178069_4758,54.93942235425018,-27.416728352665263,0.4443195111816749,-1.413362423091265,,False,False
s_176778_10190,51.01149283138996,-27.816028041831647,0.44369299689424224,1.7270355275336986,,False,False
s_175510_4455,52.612193254916775,-28.043502632028105,0.4431882643402787,-8.028793973258429,,False,False
s_171709_3532,53.30692142712907,-28.71849721162526,0.4421137147000991,-2.741027264722012,,False,False
