rank,is_new,rank_within_new,row_id,RA,DEC,mean5,footprint,brick,sep_arcsec,klc_ra,klc_dec,klc_index,klc_ref,klc_dup,klc_catalog
82725,1,73013.0,s_326934_455,221.5145407155575,-0.6713096965303114,0.2299741728871595,south,2216m007,0.12339224288575901,221.514551,-0.671277,6652,SuGOHI6 LinKS,1,klc_clean250629ymh
316,0,,s_106191_10494,3.3865235318409255,-42.658103823934056,0.4776779101695865,south,0032m427,0.12343742951744895,3.38649,-42.65808,145,Jacobs et al. 2019b,1,klc_clean250629ymh
82218,1,72534.0,s_217597_8896,48.2910542186367,-20.108775725608595,0.230234595364891,south,0481m200,0.12361267590933217,48.29103,-20.10875,2279,Jacobs et al. 2019b,1,klc_clean250629ymh
92739,1,82284.0,s_245132_5793,60.11700861865374,-15.11663332849256,0.2250829974800581,south,0601m150,0.12366499650232514,60.117,-15.1166,9728,Huang 2022,1,klc_clean250629ymh
5227,0,,s_213643_9356,74.75611125977811,-20.75185729602422,0.351147968112491,south,0746m207,0.12368585042967069,74.7561,-20.75189,2799,Jacobs et al. 2019b,1,klc_clean250629ymh
23869,1,19034.0,s_392568_5302,148.20946887395624,10.716915706901952,0.2829252856317907,south,1480p107,0.12377066773107823,148.2095,10.7169,9918,Huang 2022,1,klc_clean250629ymh
50548,1,43296.0,s_319559_226,177.7554581631648,-2.109302194804936,0.2509688763529993,south,1778m020,0.12387275391814026,177.755462,-2.109268,4929,SuGOHI1 LinKS,1,klc_clean250629ymh
82504,0,,s_117236_10169,84.58303496596537,-40.37180353072873,0.2300892954692244,south,0844m402,0.12398079172541007,84.58299,-40.3718,2898,Diehl et al. 2017,1,klc_clean250629ymh
371,1,65.0,s_91999_9052,76.26969311103483,-46.19927948725406,0.471050779428333,south,0761m462,0.12402566310694739,76.26966999999999,-46.19931,2816,Jacobs et al. 2019b,1,klc_clean250629ymh
53601,1,46102.0,s_47397_10163,72.25106248300803,-58.964953323776435,0.2484848763022455,south,0721m590,0.12425717134573386,72.25102,-58.96498,2749,Diehl et al. 2017,1,klc_clean250629ymh
297,0,,s_202906_8065,67.37817074274459,-22.733248746911205,0.4797526834940072,south,0672m227,0.12431173352531492,67.37815,-22.733220000000003,2687,Jacobs et al. 2019b,1,klc_clean250629ymh
46661,1,39736.0,s_329518_2486,147.58556563348418,-0.3180264983301236,0.2542986784828827,south,1476m002,0.12435812789328252,147.5856,-0.31803,4035,Canameras22,1,klc_clean250629ymh
47590,0,,s_478351_4479,133.11552648326852,26.461374869383157,0.2535079185152426,south,1330p265,0.12437739502600274,133.1155,26.4614,9892,Huang 2022,1,klc_clean250629ymh
827,0,,s_391537_1564,246.05916487782525,10.610002907693934,0.4351212196052074,south,2461p105,0.12471817324167002,246.0592,10.61,10124,Huang 2022,1,klc_clean250629ymh
3,0,,s_250540_6805,15.676301722734708,-14.015034634267897,0.6889512145891785,south,0155m140,0.12482847602100453,15.6763,-14.015,8971,Huang 2022,1,klc_clean250629ymh
17812,1,13687.0,s_350330_1463,310.9666316221723,3.2223143574236817,0.2953396670520306,south,3110p032,0.12486022393557758,310.9666,3.2223,10172,Huang 2022,1,klc_clean250629ymh
146768,1,131342.0,s_31111_1620,61.81660002279995,-64.93287261087369,0.2059104153886437,south,0620m650,0.12491963904015908,61.81652,-64.93288000000001,2616,Diehl et al. 2017,1,klc_clean250629ymh
15325,1,11489.0,s_345319_3318,137.91167687492552,2.607094059490562,0.3020911152707413,south,1378p025,0.1250820353530386,137.91167,2.60706,3677,Petrillo et al. 2019,1,klc_clean250629ymh
2412,0,,s_104161_4736,29.878522393399944,-43.29911601270342,0.3863471990451216,south,0299m432,0.1251396195396842,29.87848,-43.2991,1233,Jacobs et al. 2019b,1,klc_clean250629ymh
12323,0,,s_426333_2992,191.86564497808197,16.744568270781233,0.3117581100668758,south,1918p167,0.12520030099930013,191.8656805,16.74456103,10771,Storfer 2023,2,klc_clean250629ymh
904,0,,s_277443_4029,39.363847157157664,-9.218995937998892,0.4312528959475458,south,0393m092,0.12523292445815706,39.36384,-9.21903,1956,Jacobs et al. 2019b,1,klc_clean250629ymh
4128,1,2350.0,s_413759_4302,171.7243324169846,14.54901523613128,0.361271671205759,south,1716p145,0.12557167019372306,171.7243,14.549,11817,Storfer 2023,2,klc_clean250629ymh
62035,1,53830.0,s_391034_1618,118.35830044862806,10.5130349010991,0.242242272850126,south,1184p105,0.1256539910012068,118.3583,10.513,9859,Huang 2022,1,klc_clean250629ymh
73997,1,64900.0,s_447433_388,351.74836453738027,20.449589298881424,0.2347657549427822,south,3518p205,0.12567033028868166,351.7484,20.4496,9165,Huang 2022,1,klc_clean250629ymh
17010,1,12983.0,s_235365_8464,43.82149328419503,-16.68153431203882,0.2974584096111357,south,0436m167,0.12567567006953195,43.8215,-16.6815,9640,Huang 2022,1,klc_clean250629ymh
3169,1,1673.0,s_160428_1030,43.71152710889823,-31.02943446418868,0.3731924045016058,south,0438m310,0.1257617091096136,43.71149000000001,-31.02942,2149,Petrillo et al. 2019,1,klc_clean250629ymh
56528,0,,s_384259_815,200.79653781276195,9.29683749759568,0.2462152588646859,south,2008p092,0.12592858652772768,200.7965545654297,9.296868324279783,5766,Talbot,1,klc_clean250629ymh
3790,0,,s_491870_5289,347.1009004668624,28.998335019494977,0.3651379060000181,south,3470p290,0.12607875187298376,347.1009,28.9983,10224,Huang 2022,1,klc_clean250629ymh
115395,1,103164.0,s_161578_9270,18.84146815777301,-30.844313521103473,0.2158371803183399,south,0187m307,0.12610479409704403,18.84148,-30.84428,743,Petrillo et al. 2019,1,klc_clean250629ymh
118,0,,s_301694_7426,26.26788673053466,-4.9309675447982295,0.5314788651652634,south,0261m050,0.1261602470067747,26.2679,-4.931,DESI-026.2679-04.9310,DESI-026.2679-04.9310,1,huang2020_published_catalog
126921,1,113631.0,s_146941_26449,15.592586816915889,-33.86504707749819,0.2118173280054179,south,0154m337,0.12620719849932205,15.59256,-33.86502,578,Petrillo et al. 2019,1,klc_clean250629ymh
7629,1,5047.0,s_320540_1487,63.041308617451584,-1.8694541020098656,0.3340082524693571,south,0631m017,0.12621481421546976,63.04129125,-1.869423641,11502,Storfer 2023,2,klc_clean250629ymh
2686,1,1347.0,s_487611_986,215.20314901662613,28.293628260345866,0.3811600051354616,south,2152p282,0.12622605157109018,215.20318603515625,28.293615341186523,6331,Talbot,1,klc_clean250629ymh
5496,1,3359.0,s_341045_6650,149.45875878454066,1.7521050851799709,0.348848741967231,south,1493p017,0.12631792523441607,149.45873,1.752085,4088,SuGOHI2,1,klc_clean250629ymh
