rank,rank_within_new,row_id,RA,DEC,mean5,footprint,brick
641,165,s_427406_1109,111.85593258760068,16.964972285080094,0.4471429616212845,south,1119p170
648,166,s_124886_6311,35.24038412221519,-38.55095399075667,0.4465091694437433,south,0352m385
651,167,s_506219_5318,185.28071294210605,32.00122504365518,0.4463076496555004,south,1851p320
652,168,s_124861_9674,27.35924181428359,-38.42538894761772,0.44623237692867407,south,0272m385
653,169,s_273688_1278,167.86581294941908,-9.9898167956379,0.44623204357922075,south,1679m100
658,170,s_483810_2151,221.7344502222792,27.516099730494876,0.44585364414379003,south,2217p275
659,171,s_382112_4557,17.881202893540635,8.928200961950242,0.44579220898449423,south,0178p090
661,172,s_192032_1701,339.68799958095707,-24.976729056039204,0.44573692036792634,south,3397m250
665,173,s_251152_4586,173.2273159570825,-14.113744424477991,0.44552880530245603,south,1731m140
666,174,s_384844_6060,349.0970489971875,9.215172736783778,0.44552495940588416,south,3489p092
667,175,s_62290_12269,350.14229723812394,-54.4542568476985,0.44550325637683275,south,3499m545
668,176,s_352238_113,68.60066097369969,3.6343385168047044,0.4454861667007208,south,0687p037
669,177,s_242108_958,357.4415976387262,-15.706909218604693,0.44539987985044716,south,3575m157
670,178,s_215937_1791,326.72567483308524,-20.48220825346582,0.4453556454624049,south,3268m205
671,179,s_273725_2063,177.30148724006486,-9.94925736418659,0.4453238187357783,south,1773m100
673,180,s_308090_4125,188.8920083027346,-3.900784573812899,0.4451145777944475,south,1888m040
681,181,s_256732_4437,166.35696445554356,-13.074145494696051,0.4446471519768238,south,1662m130
683,182,s_187097_3774,56.870699873560106,-25.785312668045208,0.4442089139542077,south,0569m257
685,183,s_344265_305,234.25971867470378,2.1681984536613914,0.4440781677607447,south,2343p022
686,184,s_207338_2353,184.13761672859363,-21.954712286962152,0.44390215156599877,south,1841m220
689,185,s_225805_5582,58.79268493529006,-18.52646205219724,0.44372114092111586,south,0588m185
694,186,s_349379_2346,72.96950906478753,3.3242386161321225,0.4434187499340624,south,0729p032
696,187,s_434471_4918,161.85459371763804,18.138828100704707,0.44337408780120313,south,1617p182
697,188,s_108482_4971,59.3458588094162,-42.13202279618867,0.44328921830747275,south,0593m422
699,189,s_243750_4119,62.68701582384622,-15.241225227294768,0.44305154867470264,south,0627m152
701,190,s_47176_742,324.99847346725545,-59.28991791417506,0.44294382240623237,south,3252m592
702,191,s_76717_1105,110.29691331940963,-50.2156634247913,0.4427695119738928,south,1104m502
705,192,s_343846_6776,129.7364592146482,2.148519946161345,0.44249206613749265,south,1296p022
708,193,s_70175_2761,29.630840677674303,-52.088322494671885,0.4423178582932451,south,0297m520
709,194,s_478522_4595,180.79662642068936,26.60604853769908,0.44230422265827657,south,1806p265
711,195,s_212108_8632,24.28444162228358,-20.925012574042373,0.44220314637059344,south,0242m210
712,196,s_366611_2536,72.28320633036299,6.293771690368153,0.4420985735952854,south,0722p062
713,197,s_395685_1850,220.81262243695184,11.216151008772993,0.4420743029098958,south,2208p112
714,198,s_355614_1222,193.8204043785482,4.264846072651017,0.44206609204411507,south,1938p042
715,199,s_196554_1207,139.3502778515646,-24.110375835050274,0.4420134259853512,south,1394m240
716,200,s_14834_5865,301.66212099134276,-73.06785023577791,0.4420009909197688,south,3012m730
718,201,s_140961_4844,5.927249508196583,-35.09317177429569,0.44188435402465986,south,0059m350
721,202,s_128164_4265,355.75625409363283,-37.926141597486165,0.4417759595438838,south,3557m380
730,203,s_249854_4984,199.0017432949682,-14.17368954634158,0.4407602658262476,south,1989m142
731,204,s_68287_11225,340.2489854782248,-52.75420851787264,0.44071988891810177,south,3400m527
733,205,s_321623_8411,333.96729450031535,-1.6372405375808237,0.4406085464637727,south,3338m017
736,206,s_513485_2448,180.43481192962315,33.46710678099522,0.4405553980148397,south,1804p335
738,207,s_355685_4068,211.70793241445472,4.197732689525979,0.4404244345612824,south,2116p042
739,208,s_83022_9509,7.049769027938612,-48.435209071235725,0.44042083648964764,south,0069m485
748,209,s_435831_3414,159.36259080493798,18.593008300012784,0.4396158610470593,south,1593p185
749,210,s_246905_203,158.3131454441123,-14.6428605781741,0.4395430201664567,south,1584m147
750,211,s_376609_4564,68.5668829691241,8.09105655497317,0.43953264988958834,south,0684p080
751,212,s_137484_10206,21.189519961385265,-35.693750002658824,0.43941980353556576,south,0210m357
753,213,s_167081_4656,168.95432472324595,-29.78231219451258,0.4393175695557147,south,1689m297
755,214,s_34133_843,3.977616282979543,-63.771508112593956,0.43917572814971206,south,0042m637
756,215,s_70231_5531,52.37707686091136,-52.02463560289461,0.43917509098537266,south,0523m520
758,216,s_399837_2208,199.503163181942,12.034962084341593,0.43913976680487393,south,1995p120
763,217,s_223161_8070,81.75473699521072,-18.96737062598315,0.43900007754564285,south,0816m190
764,218,s_225805_5574,58.792518799556525,-18.526099937852788,0.43898316770792006,south,0588m185
767,219,s_169105_3448,29.563910381517974,-29.205022874374233,0.43861780446022747,south,0296m292
768,220,s_479673_1699,141.7982943240441,26.771691646507595,0.4386034839786589,south,1418p267
769,221,s_290917_7079,199.34678286679787,-7.042219972457447,0.4385762961581349,south,1992m070
770,222,s_369492_2410,76.52793100283802,6.670530197358136,0.4385301720350981,south,0765p067
771,223,s_298807_2479,21.904133384468523,-5.571557473677971,0.43846448822878303,south,0219m055
772,224,s_494079_5399,259.6510032623687,29.589950415305484,0.4384420996531844,south,2595p295
773,225,s_342192_1965,76.09435293532337,2.0903985730061483,0.43842826774343846,south,0761p020
775,226,s_45145_6596,50.188652228368404,-59.71816441944218,0.4383084174012765,south,0500m597
777,227,s_402654_1174,199.48005674225712,12.462831108102844,0.43825729191303253,south,1995p125
778,228,s_415255_241,197.57037958925238,14.747405739444831,0.43825031742453574,south,1976p147
782,229,s_183306_7413,82.67335276157041,-26.61403496889151,0.4380204846616834,south,0826m265
783,230,s_173373_4308,166.84085933025443,-28.51238101724546,0.43794832872226835,south,1667m285
786,231,s_40783_5469,359.69744706399314,-61.43230805659396,0.4377851211465895,south,3597m615
787,232,s_484917_1328,173.578279839207,27.66839293824144,0.4376569755375385,south,1736p277
789,233,s_171543_3329,6.067401776071137,-28.718959776029852,0.43754307719646024,south,0061m287
790,234,s_25214_649,10.447328963724072,-67.44076344069549,0.43737560433801265,south,0107m675
792,235,s_144780_8701,84.62734363082353,-34.25847869211363,0.43729706725280265,south,0845m342
795,236,s_470572_2403,138.28494689658044,25.10731907476962,0.43696284051984546,south,1383p250
796,237,s_383410_658,345.86794568581604,8.92729098180504,0.4368778429925442,south,3459p090
797,238,s_419285_4108,159.96430375913502,15.456153013557634,0.4368034421466291,south,1599p155
799,239,s_98997_4686,41.750568539763194,-44.5364137554477,0.43672267803922293,south,0417m445
800,240,s_473071_3735,107.74598037482643,25.43573519998352,0.4366806909441948,south,1076p255
801,241,s_345049_2700,70.43083241830392,2.4218308977342615,0.4365740600042045,south,0703p025
802,242,s_36079_1416,8.280042254198985,-62.98679207013011,0.4365624252579437,south,0084m630
804,243,s_465655_191,229.71988208028156,24.047181482487048,0.4363999200053513,south,2298p240
805,244,s_246365_7943,19.026271870452312,-14.648976205831673,0.4363756527993246,south,0189m147
806,245,s_134151_6151,70.62703058350776,-36.55069107716736,0.4362258804962039,south,0706m365
809,246,s_105271_3625,49.526452077475255,-43.110352303350126,0.43608934501535257,south,0496m430
812,247,s_205376_3967,15.211613955303541,-22.37367683459797,0.43604276559781285,south,0152m222
817,248,s_155478_10567,34.38484509249025,-32.00340088172156,0.43572002670844084,south,0342m320
821,249,s_107472_1883,77.87056466905089,-42.58678802993267,0.43531507867155594,south,0779m425
822,250,s_160220_943,343.1173824561329,-31.13618834638684,0.43528748797252775,south,3432m312
823,251,s_42998_7432,54.9779034804109,-60.60643233278656,0.43527845581993463,south,0548m605
825,252,s_379452_1114,65.70509361923368,8.378091070658938,0.4351377788931131,south,0657p085
826,253,s_325273_634,166.26885685681964,-0.926888144136242,0.4351265022996813,south,1663m010
828,254,s_220940_176,214.4156939806495,-19.58521064159171,0.43501560036092995,south,2145m195
829,255,s_448295_3780,222.08481590294463,20.743687803799638,0.4350031053298153,south,2220p207
830,256,s_464329_2403,227.85668215596263,23.806473112673473,0.4348339229822159,south,2278p237
838,257,s_473565_1261,244.20456696048873,25.440494854891384,0.4345479016657919,south,2442p255
839,258,s_237320_3052,193.40949652473347,-16.5088847636229,0.43453144129598514,south,1934m165
845,259,s_403837_595,142.1267077578572,12.62639790250545,0.434023895021528,south,1422p127
846,260,s_257657_3649,43.37849762429531,-12.650881038128825,0.43398067222442477,south,0433m127
847,261,s_70153_6402,20.835253078889217,-52.019560049595675,0.4339207980316132,south,0208m520
851,262,s_250535_2579,14.247814600626965,-14.042117959072394,0.4338741734623909,south,0142m140
852,263,s_103090_5671,22.235647336013628,-43.457063979956004,0.43373869292845485,south,0221m435
853,264,s_85431_9668,189.24855280823664,-47.925430592975154,0.43373728583101184,south,1891m480
855,265,s_122637_8245,35.24124864554834,-38.903771837391105,0.43364054322591983,south,0351m390
856,266,s_342476_6219,147.17809524512273,2.0142747262829603,0.4336048822849989,south,1471p020
857,267,s_19412_3352,311.2357362000239,-70.52443496300774,0.4335646275430918,south,3112m705
858,268,s_221734_1034,64.51298018803195,-19.12863465060224,0.4334830069623422,south,0646m192
864,269,s_192309_3045,55.85907533140508,-24.873276952127355,0.43336988184601066,south,0559m247
867,270,s_337627_6401,14.906638742747047,1.1254870946082993,0.4331460103392601,south,0148p012
869,271,s_93968_419,62.868254060473035,-45.70646042298354,0.4330411327420734,south,0630m457
870,272,s_442738_1720,183.54263866202731,19.862441751996123,0.43295259482692927,south,1835p197
872,273,s_402756_1863,225.59208767026468,12.60415090348452,0.43290812536142764,south,2256p125
873,274,s_208204_2574,57.00981742436072,-21.750651179265617,0.43287431774078866,south,0570m217
875,275,s_124813_6225,11.998549966374116,-38.44589195522239,0.43284969353699126,south,0119m385
876,276,s_131681_10777,20.613673082374344,-36.907407818229444,0.43282991982996466,south,0204m370
877,277,s_217680_9357,70.3387700687152,-20.023459658599464,0.43279680034611373,south,0702m200
878,278,s_141088_2224,44.523581393869236,-34.89581316470692,0.4327029105275869,south,0446m350
880,279,s_93908_4895,41.604998280292996,-45.745709328205294,0.4326420303899795,south,0416m457
