name,RA,DEC,grade
DESI-036.2244-06.3029,36.2244,-6.3029,C
DESI-036.2714-06.8192,36.2714,-6.8192,C
DESI-036.3530-04.6792,36.353,-4.6792,C
DESI-036.3795-04.2093,36.3795,-4.2093,C
DESI-036.4031-04.2550,36.4031,-4.255,C
DESI-036.4081-05.2473,36.4081,-5.2473,C
DESI-036.4268-05.1548,36.4268,-5.1548,C
DESI-036.4827-16.8621,36.4827,-16.8621,C
DESI-036.6282-04.6316,36.6282,-4.6316,C
DESI-036.6556-03.7101,36.6556,-3.7101,C
DESI-036.6760-03.6801,36.676,-3.6801,C
DESI-036.6777-03.6555,36.6777,-3.6555,C
DESI-036.6819-03.6905,36.6819,-3.6905,C
DESI-036.7198+00.2833,36.7198,0.2833,C
DESI-036.7325-05.1276,36.7325,-5.1276,C
DESI-036.8076-05.0255,36.8076,-5.0255,C
DESI-036.8133-03.9033,36.8133,-3.9033,C
DESI-036.9560-06.1539,36.956,-6.1539,C
DESI-037.0345-04.5015,37.0345,-4.5015,C
DESI-037.1686-04.0027,37.1686,-4.0027,C
DESI-037.2011-04.1161,37.2011,-4.1161,C
DESI-037.2064-01.2158,37.2064,-1.2158,C
DESI-037.2945+03.7522,37.2945,3.7522,C
DESI-037.4766+03.1089,37.4766,3.1089,C
DESI-038.2709-10.4498,38.2709,-10.4498,C
DESI-038.8461-10.5125,38.8461,-10.5125,C
DESI-039.0463-06.3428,39.0463,-6.3428,C
DESI-039.2003+03.3583,39.2003,3.3583,C
DESI-039.9261-01.4632,39.9261,-1.4632,C
DESI-040.6372-12.1891,40.6372,-12.1891,C
DESI-040.6769-00.6487,40.6769,-0.6487,C
DESI-040.7046+02.2423,40.7046,2.2423,C
DESI-040.8745-01.9373,40.8745,-1.9373,C
DESI-041.3678-01.2016,41.3678,-1.2016,C
DESI-041.4318-08.6492,41.4318,-8.6492,C
DESI-041.5548-00.7524,41.5548,-0.7524,C
DESI-041.7915-08.4225,41.7915,-8.4225,C
DESI-041.9910-00.7425,41.991,-0.7425,C
DESI-042.2156-00.5329,42.2156,-0.5329,C
DESI-042.9152-00.5600,42.9152,-0.56,C
DESI-046.6993-15.0593,46.6993,-15.0593,C
DESI-047.3321-13.5368,47.3321,-13.5368,C
DESI-060.4389-14.7568,60.4389,-14.7568,C
DESI-060.6860-15.7303,60.686,-15.7303,C
DESI-061.0991-14.3883,61.0991,-14.3883,C
DESI-064.4878-03.6133,64.4878,-3.6133,C
DESI-125.6392-00.4650,125.6392,-0.465,C
DESI-131.8556+14.2550,131.8556,14.255,C
