,Index,Image,Name,Tractor Type,Score,Score Diff,Probability,Spec,Photo-z,ResNet Model,Ref,g mag,r mag,z mag,Region
397,398,,DESI-269.7858+41.9039,REX,3,0,1.0,,0.716+/-0.104,shielded,,21.36,20.0,18.36,MzLS
398,399,,DESI-273.4736+34.7448,DC,3,0,0.5,0.3106,,L18,,19.99,18.37,17.45,MzLS
399,400,,DESI-285.9297+52.4182,DC,3,0,1.0,0.326,,shielded,a,21.65,20.15,18.63,MzLS
400,401,,DESI-293.9927+58.1525,DC,3,0,0.58,0.3202,,L18,,20.81,18.92,17.43,MzLS
401,402,,DESI-311.4249-10.6762,DC,3,0,0.34,0.6334,,L18,,17.43,16.37,15.61,DECaLS
402,403,,DESI-313.9780+08.7331,DC,3,0,0.63,0.1857,,L18,,22.87,21.13,19.42,DECaLS
403,404,,DESI-332.7233-40.9782,REX,3,2,0.32,0.481,,shielded,,21.36,20.47,19.35,DECaLS
404,405,,DESI-335.2155+00.9713,REX,3,2,0.32,,0.341+/-0.036,shielded,e,19.48,17.76,16.83,DECaLS
405,406,,DESI-335.2291-11.4857,DC,3,0,0.85,,0.520+/-0.009,L18,,21.75,19.78,18.57,DECaLS
406,407,,DESI-337.2103+14.9081,DC,3,0,0.99,0.5512,,L18,,22.78,21.62,19.98,DECaLS
407,408,,DESI-342.1516+20.2529,DC,3,0,0.13,0.5847,,L18,,22.68,20.8,18.91,DECaLS
408,409,,DESI-344.6262-58.6910,REX,3,2,0.94,0.3979,,shielded,,19.43,17.92,17.19,DECaLS
409,410,,DESI-353.4326-03.4619,REX,3,0,0.94,0.6753,,L18,,21.51,20.72,19.76,DECaLS
410,411,,DESI-353.6004+17.9899,REX,3,0,0.23,,0.432+/-0.031,shielded,,22.76,20.96,19.99,DECaLS
411,412,,DESI-354.0428-02.1264,REX,3,2,0.99,,0.485+/-0.084,shielded,a,20.6,19.37,18.44,DECaLS
412,413,,DESI-356.8114-00.7980,DC,3,0,0.52,,0.786+/-0.017,L18,,22.99,20.86,18.98,DECaLS
413,414,,DESI-357.3718-60.0110,REX,3,2,0.14,,0.370+/-0.069,shielded,,20.24,19.07,18.39,DECaLS
414,415,,DESI-359.1477-13.2930,DC,3,0,1.0,0.5214,,L18,,21.68,20.67,19.28,DECaLS
415,416,,DESI-000.0254+21.6415,REX,2.5,1,0.24,0.503,,L18,,20.98,19.66,18.59,DECaLS
416,417,,DESI-000.0369+21.2841,DC,2.5,1,1.0,,0.357+/-0.066,L18,,21.66,20.06,19.23,DECaLS
417,418,,DESI-000.2881-10.5619,DC,2.5,1,0.18,0.438,,L18,,20.75,19.66,18.54,DECaLS
