name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z
DESI-277.9494+54.3033,277.9494,54.3033,A,4.0,l18,MzLS,0.14,DC,,0.252+/-0.009
DESI-278.8338+46.1076,278.8338,46.1076,A,3.5,l18,MzLS,0.28,DC,,0.420+/-0.016
DESI-287.1099+70.4625,287.1099,70.4625,A,3.5,shielded,MzLS,0.84,DC,,0.518+/-0.049
DESI-292.2833+55.8034,292.2833,55.8034,A,3.5,l18,MzLS,0.95,DC,,0.859+/-0.067
DESI-310.8020-06.1649,310.802,-6.1649,A,3.5,l18,DECaLS,0.61,DC,0.5076,nan
DESI-327.8408+13.7884,327.8408,13.7884,A,4.0,l18,DECaLS,0.1,DC,0.2015,nan
DESI-329.6820+02.9584,329.682,2.9584,A,4.0,l18,DECaLS,1.0,DC,0.2886,nan
DESI-333.3655-13.2491,333.3655,-13.2491,A,4.0,l18,DECaLS,1.0,DC,,0.110+/-0.008
DESI-333.9656+04.5843,333.9656,4.5843,A,4.0,l18,DECaLS,0.19,DC,0.5863,nan
DESI-335.5357+27.7599,335.5357,27.7599,A,3.5,l18,DECaLS,0.55,DC,0.4695,nan
DESI-339.8880-04.4883,339.888,-4.4883,A,3.5,l18,DECaLS,1.0,DC,0.5318,nan
DESI-340.2304-00.0128,340.2304,-0.0128,A,3.5,l18,DECaLS,0.59,DC,0.424,nan
DESI-341.0206+27.9877,341.0206,27.9877,A,3.5,shielded,DECaLS,0.79,DC,0.3373,nan
DESI-341.8012-02.0939,341.8012,-2.0939,A,4.0,l18,DECaLS,1.0,DC,0.3535,nan
DESI-342.1516-01.3928,342.1516,-1.3928,A,3.5,l18,DECaLS,0.99,DC,0.6776,nan
DESI-342.9290-03.4136,342.929,-3.4136,A,3.5,shielded,DECaLS,0.13,REX,0.258,nan
DESI-343.0402-04.2187,343.0402,-4.2187,A,3.5,l18,DECaLS,0.97,DC,0.4208,nan
DESI-344.5567+17.1506,344.5567,17.1506,A,4.0,l18,DECaLS,0.91,DC,0.6646,nan
DESI-345.0719+22.2249,345.0719,22.2249,A,4.0,l18,DECaLS,0.44,DC,0.4182,nan
DESI-345.8609+23.4760,345.8609,23.476,A,3.5,l18,DECaLS,0.86,DC,0.3252,nan
DESI-346.7668-13.3744,346.7668,-13.3744,A,4.0,l18,DECaLS,0.96,DC,,0.575+/-0.100
DESI-347.0926-02.1923,347.0926,-2.1923,A,3.5,l18,DECaLS,0.65,DC,0.3578,nan
DESI-347.7824+05.4971,347.7824,5.4971,A,3.5,l18,DECaLS,0.17,DC,0.5875,nan
DESI-351.7484+20.4496,351.7484,20.4496,A,3.5,l18,DECaLS,0.15,DC,0.6529,nan
DESI-353.4836-14.3846,353.4836,-14.3846,A,3.5,l18,DECaLS,0.57,DC,,0.372+/-0.061
DESI-353.5287-07.7712,353.5287,-7.7712,A,4.0,l18,DECaLS,0.13,REX,,0.522+/-0.100
DESI-355.2727-57.2679,355.2727,-57.2679,A,4.0,l18,DECaLS,0.95,REX,,0.447+/-0.044
DESI-356.7894-62.7765,356.7894,-62.7765,A,4.0,shielded,DECaLS,0.29,REX,,0.252+/-0.033
DESI-359.7003-61.4330,359.7003,-61.433,A,4.0,shielded,DECaLS,0.94,REX,,0.730+/-0.044
DESI-004.0930-09.1126,4.093,-9.1126,B,3.0,shielded,DECaLS,0.98,DC,,0.445+/-0.021
DESI-004.2564-10.1530,4.2564,-10.153,B,3.0,l18,DECaLS,0.6,DC,0.5201,nan
DESI-004.8654+32.0834,4.8654,32.0834,B,3.0,l18,MzLS,0.82,REX,0.5566,nan
DESI-005.2593-26.5437,5.2593,-26.5437,B,3.0,shielded,DECaLS,0.99,DC,0.4548,nan
DESI-008.0382-11.7536,8.0382,-11.7536,B,3.0,l18,DECaLS,0.7,DC,,0.542+/-0.012
DESI-009.5789-22.7448,9.5789,-22.7448,B,3.0,l18,DECaLS,0.95,DC,,0.659+/-0.028
DESI-010.9823-38.8884,10.9823,-38.8884,B,3.0,l18,DECaLS,0.83,REX,,0.636+/-0.041
DESI-011.3586-34.2832,11.3586,-34.2832,B,3.0,l18,DECaLS,1.0,REX,,0.860+/-0.078
DESI-013.2126-24.3469,13.2126,-24.3469,B,3.0,shielded,DECaLS,0.97,DC,,0.601+/-0.011
DESI-013.8104-15.9165,13.8104,-15.9165,B,3.0,shielded,DECaLS,0.32,REX,,0.741+/-0.055
DESI-014.1400-29.2327,14.14,-29.2327,B,3.0,l18,DECaLS,0.99,DC,0.5234,nan
DESI-014.3122+21.6428,14.3122,21.6428,B,3.0,l18,DECaLS,0.28,DC,,0.824+/-0.038
DESI-014.6685+05.7665,14.6685,5.7665,B,3.0,l18,DECaLS,0.44,DC,0.1696,nan
DESI-014.7995-22.0867,14.7995,-22.0867,B,3.0,l18,DECaLS,1.0,DC,,0.780+/-0.057
DESI-015.2049+18.3077,15.2049,18.3077,B,3.0,l18,DECaLS,0.51,DC,,0.593+/-0.012
DESI-015.4982-21.4487,15.4982,-21.4487,B,3.0,l18,DECaLS,0.97,DC,,0.435+/-0.027
DESI-015.7396-29.1895,15.7396,-29.1895,B,3.0,l18,DECaLS,1.0,DC,,0.266+/-0.013
DESI-015.9372+27.1025,15.9372,27.1025,B,3.0,l18,DECaLS,0.69,DC,,0.381+/-0.022
DESI-016.1300-19.8697,16.13,-19.8697,B,3.0,shielded,DECaLS,1.0,DC,,0.420+/-0.024
DESI-016.3170+01.4392,16.317,1.4392,B,3.0,shielded,DECaLS,0.61,DC,,0.253+/-0.008
DESI-016.5259-31.0774,16.5259,-31.0774,B,3.0,l18,DECaLS,0.99,DC,0.2603,nan
DESI-016.5369-37.0055,16.5369,-37.0055,B,3.0,shielded,DECaLS,0.85,REX,,0.419+/-0.081
DESI-018.7209-25.2845,18.7209,-25.2845,B,3.0,l18,DECaLS,0.23,DC,,0.787+/-0.034
DESI-020.7960+30.9619,20.796,30.9619,B,3.0,l18,DECaLS,0.92,DC,,0.622+/-0.021
DESI-021.1715-06.9096,21.1715,-6.9096,B,3.0,l18,DECaLS,0.32,DC,,0.403+/-0.033
DESI-023.0157-16.0040,23.0157,-16.004,B,3.0,l18,DECaLS,0.98,DC,,0.492+/-0.047
DESI-024.7188-16.8552,24.7188,-16.8552,B,3.0,l18,DECaLS,0.94,DC,,0.553+/-0.016
DESI-025.7083-19.7918,25.7083,-19.7918,B,3.0,l18,DECaLS,1.0,DC,,0.267+/-0.016
DESI-025.9390-26.2946,25.939,-26.2946,B,3.0,l18,DECaLS,0.99,DC,,0.334+/-0.019
